,0
0,"IMPORTANCE: Acute lymphoblastic leukemia (ALL) is the most common childhood 
cancer. Hepatotoxic effects, including hyperbilirubinemia and elevated alanine 
aminotransferase (ALT) and aspartate aminotransferase (AST) levels, are common 
during all phases of therapy and are linked to several chemotherapeutic agents, 
including asparaginase, mercaptopurine, and methotrexate.
OBJECTIVE: To determine which genetic variants were associated with 
hyperbilirubinemia and elevated ALT and AST levels in children, adolescents, and 
young adults treated for ALL.
DESIGN, SETTING, AND PARTICIPANTS: This retrospective analysis of a multiethnic 
genome-wide association study was conducted between January 1, 2019, and April 
15, 2022, including patients treated as part of Children's Oncology Group (COG) 
trials with centers in the United States, Canada, and Australia, which accrued 
data from December 29, 2003, to January 21, 2011 (AALL0232), and from January 
22, 2007, to July 24, 2014 (AALL0434). Germline genotypes were interrogated 
using genome-wide arrays and imputed using a National Institutes of Health 
TOPMed Imputation server. Mixed-effects logistic regressions were used to 
account for multiple episodes for an individual patient. Genotype × treatment 
phase interaction was tested to uncover phase-specific genetic risk factors.
EXPOSURES: Total duration of multiagent protocol chemotherapy ranging from 2.5 
to 3.5 years.
MAIN OUTCOMES AND MEASURES: The primary outcomes were National Cancer Institute 
Common Terminology Criteria for Adverse Events (version 4) hyperbilirubinemia of 
grade 3 or higher and elevated liver ALT and AST levels.
RESULTS: A total of 3557 participants were included in the analysis (2179 
[61.3%] male; median age, 11.1 [range, 1-30] years). Among 576 known variants 
associated with these liver function test results in the general population, 
UGT1A1 variant rs887829 and PNPLA3 variant rs738409 were associated with 
increased risk of hyperbilirubinemia (odds ratio [OR], 2.18 [95% CI, 1.89-2.53]; 
P = 6.7 × 10-27) and ALT and AST levels (OR, 1.27 [95% CI, 1.15-1.40]; P = 3.7 × 
10-7), respectively, during treatment for ALL. Corresponding polygenic risk 
scores were associated with hepatotoxic effects across all therapy phases and 
were largely driven by UGT1A1 and PNPLA3 variants. Genome-wide association 
analysis revealed an age-specific variant near the CPT1A gene that was only 
associated with elevated ALT and AST levels among patients younger than 10 years 
(OR, 1.28 [95% CI, 1.18-1.39]; P = 8.7 × 10-10).
CONCLUSIONS AND RELEVANCE: These results suggest a strong genetic basis for 
interpatient variability in hyperbilirubinemia and aminotransferase level 
elevations during leukemia chemotherapy."
1,"PURPOSE: To evaluate the impact of vitamin D (Vit D) supplementation on systemic 
biomarkers of collagen degradation, inflammation, oxidative stress, and copper 
metabolism in adolescent patients with keratoconus (KC).
METHODS: This was a prospective observational pilot study. Twenty patients (age 
range, 16-19 years) presenting KC and Vit D insufficiency (<30 ng/mL) were 
included. Vit D supplementation was prescribed by their general practitioner as 
per the standard of care. Patients were followed up for 12 months. At each 
visit, best spectacle-corrected visual acuity (BSCVA), maximal keratometry 
(Kmax), and thinnest corneal thickness (TCT) were evaluated. The primary outcome 
of the study was the proportion of patients with Kmax progression of less than 1 
D throughout the 12-month follow-up time. Blood samples were collected at 
different time points to evaluate Vit D levels and systemic markers of collagen 
degradation, inflammation, oxidative stress, and copper metabolism by ELISA or 
RT-PCR.
RESULTS: Lower Vit D levels in the plasma were correlated with higher levels of 
systemic biomarkers of collagen degradation. Vit D supplementation increased the 
cell availability of copper. Moreover, stabilization of KC progression was found 
in 60% of patients (72% of eyes) after 12 months with Vit D supplementation. 
BSCVA, Kmax, and TCT rates remained stable during the observation period.
CONCLUSIONS: Our findings support that Vit D administration could affect ocular 
and systemic biomarkers in KC and illuminate a possible mechanism that can be 
used to develop new treatment alternatives.
TRANSLATIONAL RELEVANCE: Although KC therapy currently relies exclusively on 
surgical procedures, Vit D supplementation may offer a non-invasive and 
inexpensive alternative with minimal associated side effects."
2,"IMPORTANCE: Patients with cancer are known to have increased risk of COVID-19 
complications, including death.
OBJECTIVE: To determine the association of COVID-19 vaccination with 
breakthrough infections and complications in patients with cancer compared to 
noncancer controls.
DESIGN, SETTING, AND PARTICIPANTS: Retrospective population-based cohort study 
using linked administrative databases in Ontario, Canada, in residents 18 years 
and older who received COVID-19 vaccination. Three matched groups were 
identified (based on age, sex, type of vaccine, date of vaccine): 1:4 match for 
patients with hematologic and solid cancer to noncancer controls (hematologic 
and solid cancers separately analyzed), 1:1 match between patients with 
hematologic and patients with solid cancer.
EXPOSURES: Cancer diagnosis.
MAIN OUTCOMES AND MEASURES: Outcomes occurring 14 days after receipt of second 
COVID-19 vaccination dose: primary outcome was SARS-CoV-2 breakthrough 
infection; secondary outcomes were emergency department visit, hospitalization, 
and death within 4 weeks of SARS-CoV-2 infection (end of follow-up March 31, 
2022). Multivariable cumulative incidence function models were used to obtain 
adjusted hazard ratio (aHR) and 95% CIs.
RESULTS: A total of 289 400 vaccinated patients with cancer (39 880 hematologic; 
249 520 solid) with 1 157 600 matched noncancer controls were identified; the 
cohort was 65.4% female, and mean (SD) age was 66 (14.0) years. SARS-CoV-2 
breakthrough infection was higher in patients with hematologic cancer (aHR, 
1.33; 95% CI, 1.20-1.46; P < .001) but not in patients with solid cancer (aHR, 
1.00; 95% CI, 0.96-1.05; P = .87). COVID-19 severe outcomes (composite of 
hospitalization and death) were significantly higher in patients with cancer 
compared to patients without cancer (aHR, 1.52; 95% CI, 1.42-1.63; P < .001). 
Risk of severe outcomes was higher among patients with hematologic cancer (aHR, 
2.51; 95% CI, 2.21-2.85; P < .001) than patients with solid cancer (aHR, 1.43; 
95% CI, 1.24-1.64; P < .001). Patients receiving active treatment had a further 
heightened risk for COVID-19 severe outcomes, particularly those who received 
anti-CD20 therapy. Third vaccination dose was associated with lower infection 
and COVID-19 complications, except for patients receiving anti-CD20 therapy.
CONCLUSIONS AND RELEVANCE: In this large population-based cohort study, patients 
with cancer had greater risk of SARS-CoV-2 infection and worse outcomes than 
patients without cancer, and the risk was highest for patients with hematologic 
cancer and any patients with cancer receiving active treatment. Triple 
vaccination was associated with lower risk of poor outcomes."
3,"IMPORTANCE: Single-arm trials have allowed for transformative therapies to be 
made available to patients expeditiously. However, using single-arm trials to 
support drug approval presents several challenges that must be carefully 
considered.
OBSERVATIONS: Between January 1, 2002, and December 31, 2021, the US Food and 
Drug Administration granted 176 new malignant hematology and oncology 
indications based on single-arm trials, including 116 accelerated approvals 
(AAs) and 60 traditional approvals. Overall, 87 approvals (49%) were for new 
molecular entities or original biologics and 89 (51%) were supplemental 
indications. Response rate (RR) was the most common end point used to support 
approval in these single-arm trials (173 of 176 [98%]). Of the 116 AAs based on 
single-arm trials, 45 (38%) fulfilled their postmarketing requirement to verify 
clinical benefit, 61 (52%) are pending verification of benefit, and 10 (9%) were 
withdrawn from the market as of December 31, 2021. Most (56 of 61 [92%]) AAs 
based on single-arm trials pending verification of benefit occurred during the 
previous 5 years and have ongoing confirmatory trials as of December 2021.
CONCLUSIONS AND RELEVANCE: Single-arm trials have been a common development 
strategy to support regulatory approval as early-stage expansion cohorts with 
promising durable RRs have become more prevalent. In the appropriate context, 
single-arm trials using durable RRs can allow patients expedited access to novel 
therapies and will continue to serve a role in advancing drug development in 
oncology. However, single-arm trials have a smaller noncomparative safety data 
set, inability to use time-to-event end points, and other limitations that 
require careful consideration within the context of the disease and available 
therapies. The randomized clinical trial remains the preferred approach in 
clinical investigation."
4,"IMPORTANCE: With a prevalence between 0.2% and 6.1% of all live births, 
congenital cytomegalovirus (cCMV) infection is a major cause of congenital 
nonhereditary sensorineural hearing loss. Despite the large amount of research 
on cCMV-related hearing loss, it is still unclear which newborns are at risk of 
hearing loss.
OBJECTIVE: To identify independent risk factors for cCMV-related congenital 
hearing loss and predictors of hearing loss severity at birth.
DESIGN, SETTING, AND PARTICIPANTS: This cross-sectional study of newborns with 
cCMV infection used data included in the Flemish CMV registry that was collected 
from 6 secondary and tertiary hospitals in Flanders, Belgium, over 15 years 
(January 1, 2007, to February 7, 2022). Data were analyzed March 3 to October 
19, 2022. Patients were included in the study after confirmed diagnosis of cCMV 
infection and known hearing status at birth. Patients who presented with other 
possible causes of sensorineural hearing loss were excluded.
MAIN OUTCOMES AND MEASURES: Primary outcome was hearing status at birth. 
Clinical, neurological, and laboratory findings along with the timing of 
seroconversion and blood viral load were separately considered as risk factors. 
Binary logistic regression was performed to identify independent risk factors 
for congenital hearing loss in newborns with cCMV. Effect sizes were measured 
using Hedges g, odds ratio, or Cramer V.
RESULTS: Of the 1033 newborns included in the study (553 of 1024 [54.0%] boys), 
416 (40.3%) were diagnosed with symptomatic cCMV infection and 617 (59.7%) with 
asymptomatic cCMV infection. A total of 15.4% of the patients (n = 159) 
presented with congenital hearing loss; half of them (n = 80 [50.3%]) had 
isolated hearing loss. The regression model revealed 3 independent risk factors 
for congenital hearing loss: petechiae at birth (adjusted odds ratio [aOR], 6.7; 
95% CI, 1.9-23.9), periventricular cysts on magnetic resonance imaging (MRI; 
aOR, 4.6; 95% CI, 1.5-14.1), and seroconversion in the first trimester (aOR, 
3.1; 95% CI, 1.1-9.3). Lower viral loads were seen in patients with normal 
hearing compared with those with congenital hearing loss (median [IQR] viral 
load, 447.0 [39.3-2345.8] copies per milliliter of sample [copies/mL] vs 1349.5 
[234.3-14 393.0] copies/mL; median difference, -397.0 [95% CI, -5058.0 to 174.0] 
copies/mL).
CONCLUSIONS AND RELEVANCE: Findings of this cross-sectional study suggest that 
newborns with cCMV infection and petechiae at birth, periventricular cysts on 
MRI, or a seroconversion in the first trimester had a higher risk of congenital 
hearing loss. Clinicians may use these risk factors to counsel parents in the 
prenatal and postnatal periods about the risk of congenital hearing loss. 
Moreover, linking clinical features to hearing loss may provide new insights 
into the pathogenesis of cCMV-related hearing loss. The importance of viral load 
as a risk factor for congenital hearing loss remains unclear."
5,"Plain Language Summary: A 71-year-old man presented with a rapidly progressing 
rash and swelling of the left side of the chest wall. What is your diagnosis?"
6,"IMPORTANCE: Molecular testing in non-small cell lung cancer (NSCLC) is commonly 
limited by inadequate tumor sample. Plasma cell-free DNA (cfDNA) genotyping as a 
complementary test is specific but only moderately sensitive. Genotyping of 
cfDNA in pleural and pericardial effusion (PE-cfDNA) can further optimize 
molecular diagnostic yield and reduce the need for repeated biopsies.
OBJECTIVE: To prospectively validate droplet digital polymerase chain reaction 
(ddPCR) for detection of sensitizing EGFR variants and acquired Thr790Met 
variant (T790M) from PE-cfDNA in patients with NSCLC.
DESIGN, SETTING, AND PARTICIPANTS: This prospective diagnostic validation study 
was conducted between September 6, 2016, and January 21, 2021 at 2 major Hong 
Kong cancer centers. Patients with advanced NSCLC with both wild-type and 
variant EGFR status and exudative PE who underwent thoracocentesis or 
pericardiocentesis were randomly enrolled. Patients were either EGFR-tyrosine 
kinase inhibitor (TKI) naive (cohort 1) or EGFR-TKI treated but osimertinib 
naive (cohort 2). Enrolled patients underwent pleural- or pericardial-fluid and 
blood sampling for ddPCR EGFR testing. EGFR status results with ddPCR testing of 
PE-cfDNA and blood were compared with EGFR status in matched tumor biopsy or PE 
cell block samples.
MAIN OUTCOMES AND MEASURES: Specificity, sensitivity, and concordance of 
PE-cfDNA for detection of sensitizing EGFR variants and acquired T790M 
variation.
RESULTS: Among 171 patients (54% female) enrolled, there were 104 in cohort 1 
and 67 in cohort 2. In cohort 1, 37% (38/102) were EGFR-variant positive; 
PE-cfDNA showed 97% sensitivity (95% CI, 92%-100%), 97% specificity (95% CI, 
93%-100%), and 97% concordance (ĸ = 0.94, P < .001) for the detection of 
sensitizing EGFR variants. It was more sensitive than plasma in detecting 
sensitizing EGFR variants (97% vs 74%, P < .001). In cohort 2, 38% (15 of 40) 
were positive for the EGFR T790M variant; PE-cfDNA showed 87% sensitivity (95% 
CI, 69%-100%), 60% specificity (95% CI, 41%-79%), and 70% concordance (ĸ = 0.42, 
P = .004) for acquired T790M. The EGFR T790M variant was detected in 51% of 
PE-cfDNA vs 25% of PE cell block samples.
CONCLUSIONS AND RELEVANCE: In this diagnostic study, EGFR variants could be 
accurately detected from PE-cfDNA in patients with NSCLC. More EGFR T790M was 
detected in PE-cfDNA than in guideline-recommended PE cell block preparations. 
These results suggest that PE-cfDNA can complement plasma and tumor genotyping 
for detecting EGFR variants in patients with advanced NSCLC."
7,"Early-life arsenic (As) exposure is a particular health concern. However, it is 
unknown if As ingested early in life is more readily absorbed from the 
gastrointestinal (GI) tract, i.e., higher in oral bioavailability. Here, 
weanling (3-week) and adult (6-week-old) female mice were exposed to arsenate in 
the diet (10 μg g-1) over a 3-week period with As oral bioavailability estimated 
using As urinary excretion as the bioavailability endpoint. The As urinary 
excretion factor was 1.54-fold higher in weanling mice compared to adult mice 
(82.2 ± 7.29 versus 53.1 ± 3.73%), while weanling mice also showed 2.28-, 1.50-, 
1.48-, and 1.89-fold higher As concentration in small intestine tissue, blood, 
liver, and kidneys, demonstrating significantly higher As oral bioavailability 
of early-life exposure. Compared to adult mice, weanling mice significantly 
differed in gut microbiota, but the difference did not lead to remarkable 
differences in As biotransformation in the GI tract or tissue and in overall gut 
metabolite composition. Although the expression of several metabolites (e.g., 
atrolactic acid, hydroxyphenyllactic acid, and xanthine) was up-regulated in 
weanling mice, they had limited ability to elevate As solubility in the 
intestinal tract. Compared to adult mice, the intestinal barrier function and 
intestinal expression of phosphate transporters responsible for arsenate 
absorption were similar in weanling mice. However, the small intestine of 
weanling mice was characterized by more defined intestinal villi with greater 
length and smaller width, providing a greater surface area for As to be absorbed 
across the GI barrier. The results highlight that early-life As exposure can be 
more readily absorbed, advancing the understanding of its health risk."
8,"Piezo ion channel is a mechanosensitive protein on the cell membrane, which 
contains Piezo1 and Piezo2. Piezo channels are activated by mechanical forces, 
including stretch, matrix stiffness, static pressure, and shear stress. Piezo 
channels transmit mechanical signals that cause different downstream responses 
in the differentiation process, including integrin signaling pathway, ERK1/2 
MAPK signaling pathway, Notch signaling, and WNT signaling pathway. In the fate 
of stem cell differentiation, scientists found differences in Piezo channel 
expression and found that Piezo channel expression is related to developmental 
diseases. Here, we briefly review the structure and function of Piezo channels 
and the relationship between Piezo and mechanical signals, discussing the 
current understanding of the role of Piezo channels in stem cell fate and 
associated molecules and developmental diseases. Ultimately, we believe this 
review will help identify the association between Piezo channels and stem cell 
fate."
9,"As alternative blood supply routes, collateral blood vessels can play a crucial 
role in determining patient outcomes in acute and chronic intracranial occlusive 
diseases. Studies have shown that increased collateral circulation can improve 
functional outcomes and reduce mortality, particularly in those who are not 
eligible for reperfusion therapy. This article aims to discuss the anatomy and 
physiology of collateral circulation, describe current imaging tools used to 
measure collateral circulation, and identify the factors that influence 
collateral status."
