,0
0,"There are at least five obstacles to the viability of ideology critique as a method of analysis in current conditions: (1) there is no ideology-free, Gods-eye view through which the critical theorist can analyze other ideologies; (2) few people really believe in explicit ideological justifications for exploitation and domination today, a widespread skepticism that could annul the warrant for ideology critique; (3) conspiracy theories and identity politics have superseded more universalistic and structural forms of critique, which, due to their real and superficial similarities with ideology critique, represent troublesome competitors; (4) ecological degradation is undermining the possibility of the free future that ideology critique implicitly anticipates; and (5) due to the decline of radical labor movements and near-absolute control of consciousness by the culture industry, the audience for ideology critique is so small and distracted that thoughtful, written analyses of ideology may be pointless. Despite these obstacles, I defend ideology critique as a viable and beneficial method. Barrier (5) is the only obstacle that I think has the potential to deliver a death blow to ideology critique in the foreseeable future.
"
1,"Racialisation is a Marxist concept that has been utilised to understand racism patterns and reproduction in Western societies for more than three decades. In Marxist parlance, racialisation is the ideological process through which the state racialised a section of the population (ethnic minorities) for political purposes. The centrality of the state in racialisation discourse has inhibited the class basis that underpins racialisation. This article articulates the class analysis of racialisation, positing that racialisation stems from racism ideology that the Western ruling class utilised to divide the people along the ethnic line as a means of preserving and maintaining ruling class influence and prestige in society and protecting the capitalist system from being challenged by the unity of the people along the class line. Racialisation is utilised to reproduce racism, using media, laws, regulations and institutional practices to entrench division and disunity in society and preserve their control system under capitalism. In discussing the future of racism, this article critiques the current anti-racism campaign/movement founded and rooted in race discourse and race consciousness and argues that a shift from race consciousness to racialised consciousness is pivotal towards deconstruction and eradicating all vestiges of racism in the global society. The article concludes that racialised consciousness would act as a political unifier in anti-racism campaigns and connects the struggles of Black working and middle class with that of the White working and middle class in terms of collaboration and solidarity, to collectively challenge the capitalist system that is responsible for oppression, inequality and racism on class lines.
"
2,"While tensions over historical issues between Japan and South Korea have long served to impede US strategic goals in East Asia, mainstream International Relations theory has largely been unable to explain the stubborn persistence of such issues. Instead, I interpret East Asias post-war history through the lens of Gramscis concept of passive revolution, thereby situating the history problem in the context of the dialectical relations between state (re)formation, geopolitical contestation and transnational capital accumulation in the post-war era. I argue that US intervention in 1945 was a process in which a set of statesociety relations was established whereby democratising tendencies from below were repressed through the establishment of US-aligned capitalist regimes. This implied the partial restoration of certain aspects of the pre-1945 regimes in a manner that served to forestall any genuine coming to terms with past colonial history. Gramscis concept of passive revolution thus provides a framework for rethinking how bilateral relations between countries can be explained with reference to the broader dynamics of geopolitical contestation, transnational capital accumulation and the dynamics of statesociety contestation within national social formations. While existing empirical applications of passive revolution have typically focused on particular national instances of state formation and transformation, I argue that the concept can be utilised to analyse the region-wide processes whereby the US empire was established in the aftermath of the Second World War, and by extension, how supranational processes of passive revolution subsequently generated their own tensions and contradictions as manifested in contested bilateral relations between states.
"
3,"This article brings in the concept of the neoliberal model of development as a corrective to the prevailing emphasis in the literature that usefully describes neoliberalism as a nationally diverging phenomenon but does not adequately examine the mid-range trans-national/global regulatory connection or the logics of national convergence. By extending the concept of regulation and specifying the national trans-national connection, this article revises the original Parisian French Regulation School conception of a model of development and makes it applicable to the contemporary neoliberal era. It then applies this revised conception to help explain contemporary patterns of national convergence and divergence. In particular, with reference to Marxs theory of the relative surplus population, this article explores capitalisms uneven development as a form of national variation intensified by the neoliberal model of development. This revisionist analysis of model of development also demonstrates how its praxis dimension is significant for explaining past and present mid-range variations of capitalism, and more importantly for making a mid-range counter-hegemonic future.
"
4,"Drawing on a Gramscian Regulation Approach and Harveys accumulation by dispossession thesis, this article discusses the structural and hegemonic mechanisms of the neoliberal transformation of Swedens welfare sectors. Providing new longitudinal data on welfare retrenchment, corporate governance, wealth shares, and private economic power, the article further analyzes how the transformation of the Swedish post-war universal welfare model is related to class struggle and accumulation regime change in the Swedish economy. Following a decade-long countermobilization of Swedish capital and a severe economic crisis in the early 1990s, neoliberal economic common sense was cemented among social democratic policy elites that manifested itself in an institutionalized austerity polity, leading to a slow but steady dismantling of the Swedish welfare project. Roughly a fifth of employees in the three largest welfare sectors work in private welfare companies that generate tax-financed profits on politically created welfare markets. Welfare profits are in turn defended by a welfareindustrial complex and undergirded by a hegemonic bloc consisting of capital elites and sympathetic policymakers. In the virtual absence of vocal antihegemonic forces, many social democratic leaders have limited criticism against welfare profits throughout the last decades. On the contrary, austerity measures practiced by Swedish social democrats have thereto led to deteriorating social cohesion and spawned distrust among core social democratic voters.
"
5,"Inequality has been increasing for decades in both rich and developing countries and the academic literature addressing it struggles to provide explanations, let alone solutions. This article is concerned with a relatively underexplored area, the relationship between macro-level inequality and organizational inequality. The core focus of the article is the recognition that the two phenomena are closely bound up one with the other. This is made possible by adopting Rousseaus notion of inequality as hierarchy and willingness to accept subordination to authority and disparity of treatment. In doing so, we highlight similarities and dissimilarities between Rousseau and Marx. Inequality remains an issue of hierarchy at both the macro and organizational levels. As it was for Rousseau, so it is today but it is much more layered than in Rousseaus day: inequality in society is the accepted degree of hierarchy among its members, inequality in the economy and at work is the extent to which, accepted or not, there is an imbalance of power, financial resources, remuneration of work and access to opportunities and services. The increase in inequality is due to a radical change in the socio-economic model of advanced economies. This change involves a shift towards financialization, a pressure on labour through flexibility, the decline of trade unions power and the retrenchment of public social spending.
"
6,"Social supply plays a key role in bottom level cannabis markets. In outlining how social supply of cannabis differs from commercial market exchange, existing studies have argued that social supply is typically driven by two cultural logics: reciprocal gift-giving and sharing. Importantly, researchers have depicted sharing as a sub-version of a more generalized pattern of reciprocation and/or described sharing as a type of transfer that is motivated by altruism on the part of the giver. However, in this article, we argue that if we are to develop a more nuanced understanding of the sharing aspects of social supply, we need a more refined understanding of sharing. Based on interviews with 38 young cannabis users from Denmark, this article draws on recent anthropological theories of sharing and the concept of demand sharing in demonstrating how social cannabis supply is driven both by reciprocal logics, but also by hitherto overlooked sharing logics that cannot easily be captured by the categories reciprocity or altruism. More specifically, we analyze the important role played by receivers in facilitating sharing processes. We outline how diverse receiver demands are often the precondition for creating the social pressure that leads those who have, to allow others to take. In this way, this article contributes to a more detailed understanding of the complex transfer processes fueling social supply of illicit drugs.
"
7,"Traditional news media can both reflect and shape public perceptions, including expectations relating to alcohol and parenting. This paper examines representations of parents in Australian news media reporting on youth drinking to understand how parental standards related to alcohol are constructed and articulated. 150 news articles were sampled from a larger study of youth drinking, in which we identified four representations of parentsparents as to blame, good parents, parents as lost and parents as victims. These four representations of parents reflect dominant neoliberal ways of governing, which promote parental education, best practice standards and responsibility as solutions to concerns around youth drinking. We examine the way politicians, research findings and legal directives (most commonly secondary supply laws) were deployed to attribute parental responsibility and standards of care. While parents as to blame or as irresponsible was concretely established in the articles, good parents were far more elusive and strategically individualized in ways that abdicated responsibility from the state, industry and structural burdens. As such, while media representations were able to define and moralize bad parents and parenting practices when it came to youth drinking, what it meant to be a good parent was often an ambiguous ideal. We suggest these media representations contribute to intensive parenting standards by providing another platform in which parental behaviors can be publicly scrutinized and moralized.
"
8,"Historically, overpolicing of some racialized and Indigenous groups in Canada has resulted in unequal application of drug laws contributing to disproportionate rates of charges and convictions in these populations. Criminal records severely and negatively impact an individuals life and can perpetuate cycles of poverty and socioeconomic disadvantage. On October 17, 2018, Canada legalized cannabis production, distribution, sale, and possession for non-medical purposes. Advocates of criminal justice reform have raised concerns that Indigenous and racialized people may not equitably benefit from legalization due to unequal police surveillance and drug enforcement. These groups are among priority populations for research on cannabis and mental health, but their views on cannabis regulation have been largely absent from research and policy-making. To address this gap, we asked self-identified members of these communities about their lived experiences and perspectives on cannabis legalization in Canada. Between September 2018 and July 2019, we conducted semistructured interviews and focus groups with 37 individuals in Québec, Ontario, Alberta and British Columbia. During this phase of early cannabis legalization, participants responded to questions about anticipated public health risks and benefits of legalization, how their jurisdiction is responding to legalization, and what community resources would be needed to address legalization impacts. We conducted a thematic analysis and identified five major themes in the data related to race and early cannabis legalization: overpolicing of racialized communities, severity of penalties in new cannabis legislation, increased police powers, and underrepresentation of racialized groups in the legal cannabis market and in cannabis research. Participants discussed opportunities to support cannabis justice, including establishing priority licenses, issuing pardons or expunging criminal records, and reinvesting cannabis revenue into impacted communities. This work begins to address the paucity of Indigenous and racialized voices in cannabis research and identifies potential solutions to injustices of cannabis prohibition.
"
9,"Despite its strengths, drug policy scholarship in the United States has deficiencies and systemic biases that contribute to misinformation about drugs and people who use drugs. Factors ranging from funders biases to an overemphasis on abstinence-only outcomes limit the scope and focus of drug policy research. These deficiencies and the highly politicized nature of drug policy reform have led U.S. decision-makers to largely reproduce the uninformed thinking that epitomizes failed drug policies. In an effort to address some of these limitations, we designed Unbounded Knowledge: Envisioning a New Future for Drug Policy Research, a project to engage researchers in thinking about how U.S. drug policy research should be transformed. The project involved a diverse group of multidisciplinary drug researchers and clinicians in a focused collaboration to identify what drug research should bebut is notstudying in the U.S. It consisted of: (1) a preliminary series of interviews with researchers, (2) identification of common research constraints and factors that would transform the direction of drug policy research in the U.S., and (3) a daylong workshop to craft an aspirational research agenda. Participants were broadly in consensus that significant changes are needed to create different ways to conduct drug policy research and new opportunities within the research environment. They also generated specific ideas for research that could better shape U.S. drug policies in ways that move beyond the dominant focus on criminalization and medicalization. This article offers recommendations generated by the project for improving drug policy research in the U.S.
"
10,"The article aims to make understandable a significant change that has taken place in the adolescent drinking habits: throughout the world, the teens are drinking much less than previous generations. Previous research has approached this phenomenon through survey research methodology, trying to identify the variables that correlate with individuals alcohol consumption level, thereby explaining the phenomenon. The impact of social media use on drinking habits has been identified as one possible explanation, but the results have been contradictory. The article hypothesizes that the rise of social media created an institutional change in young peoples conditions for and patterns of socializing. Using qualitative interviews with Finnish teenagers as empirical data, the article concludes that since socializing with peers and initiating romantic relationships takes place primarily in virtual contexts, there are less occasions in which alcohol would serve as a social lubricant. Consequently, compared with previous generations, alcoholic beverages play a smaller role in young peoples lives. The current living conditions molded by the social media concern everyone, which is why individual-level correlations between social media use and alcohol consumption level do not capture the aggregate effect that the changed living conditions have brought about.
"
11,"Some personal experience of illicit drug use undoubtedly exists within the population of academic drug researchers. But it is rarely acknowledged, and even more rarely reflected upon, in their published work. This is understandable: criminal, professional and social sanctions may follow public admission of illicit activities. However, to not come out seems contrary to some core academic principles, such as transparency in data collection and reflexivity in the research process. Coming out may present researchers with an opportunity for improving knowledge of, and policies toward, drug use. In this article, we identify reasons for and against the public disclosure of drug use and the impact of such disclosure across a range of spheres, including research, teaching, policy influence and private lives. Reasons against coming out include the risks of undermining professional reputations and hence the ability to contribute to academic and policy debates, the threat of criminal justice sanctions, and impacts on loved ones. However, coming out can have academic benefit (i.e., improving our understanding of drugs, of people who use drugs, and of drug research) and contribute to activist goals (e.g., de-stigmatization of drug use and demarginalization of people who use drugs). Both the risks and benefits of public drug use disclosure have implications for how research and researchers may influence drug policy. Two key themes, stigma and reflexivity, underpin the discussion. We do not conclude with clear recommendations for drug-using drug researchers; to come out or to not come out is a personal decision. However, we argue that there is clear merit to further open discussion on the role of disclosure and reflection on personal drug use experience among those working in drug research and drug policywhere such reflection is relevant and where such researchers feel able to do so.
"
