,0
0,"This article explores how the economic impacts of violence can continue long after a relationship has ended and how the family law system is a generally unhelpful tool for financial recovery from abuse. Hurdles in the legal system such as the unavailability of legal aid and the absence of affordable legal representation, lack of legislative reforms in relation to property division in cases of violence, and difficulties in enforcing orders, compound experiences of violence and entrench poverty. Reforms to improve the family law property system for victims of violence are suggested.
"
1,"This article discusses the recent repeal of the death penalty in Papua New Guinea and examines some potential implications for considerations to decriminalise same-sex sexual activity and sex work in the country. It considers that, while the repeal of the death penalty was a significant milestone for human rights domestically and internationally, the dominance of Christian morals evident in propelling the repeal deepens the challenge for law reform on issues of moral bearing, most notably the decriminalisation of same-sex sexual activity and sex work. The article further analyses the political conditions to conclude that for those considering law reform, there may be better prospects through the Supreme Court by way of a constitutional validity challenge than through the Parliament.
"
2,"For more than half a century, Australian states and territories have criminalised the distinct offence of inciting another person to commit suicide. The maximum penalties for these offences vary and require the accused to have intended that the victim would commit suicide. In contrast, the offence of involuntary manslaughter does not require such an intention. Instead, a charge of manslaughter requires that the accused acted in a conscious and voluntary way that caused the victims death, and that their conduct was either criminally negligent or unlawful and dangerous. Drawing on cases from the United States and United Kingdom, this article suggests that in appropriate circumstances in Australia, especially in the context of family violence, offenders should be held criminally liable for manslaughter if they cause another person to commit suicide.
"
3,"This article explores how the economic impacts of violence can continue long after a relationship has ended and how the family law system is a generally unhelpful tool for financial recovery from abuse. Hurdles in the legal system such as the unavailability of legal aid and the absence of affordable legal representation, lack of legislative reforms in relation to property division in cases of violence, and difficulties in enforcing orders, compound experiences of violence and entrench poverty. Reforms to improve the family law property system for victims of violence are suggested.
"
4,"The presumption of doli incapax is a legal safeguard for children who contravene the criminal law. Four distinct thresholds emerge from the application of doli incapax across the Australian jurisdictions: actual knowledge that the offending conduct was seriously wrong; actual knowledge that the offending conduct was wrong; capacity to know that the offending conduct should not occur; and capacity to know that the offending conduct was seriously wrong. This article explores differences in the four doli incapax thresholds and suggests a uniform approach to the presumption is required to correct the jurisdictional inconsistency.
"
5,"The decision of the Supreme Court of Nigeria in Benjamin v Kalio has been praised. However, the route taken by the Court to do justice and its implication have never been considered. This article examines the route through which the Supreme Court of Nigeria arrived at justice in this case. The article finds that the Supreme Court of Nigeria overruled its previous judgments by holding that unregistered land instruments could be tendered in evidence because section 20 of the Land Instruments (Preparation and Registration) Law of Rivers State is unconstitutional for not being within the legislative competence of States. The article argues that this is a simplistic route to justice having not taken cognisance of the Nigerian federalism and the concepts of existing and deemed laws with the probable consequence of rendering such laws on presumptions as section 30 of the Criminal Code and section 50 of the Penal Code null and void. The article concludes that this tends to constitute a pitfall.
"
6,"In considering the protection of fundamental rights in Hong Kong, the Basic Law and the Bill of Rights Ordinance (Cap 383) (BORO) tend to be the dual focus. However, common law principles protective of fundamental rights continue to apply. These include principles of statutory interpretation such as the principle of legality (the presumption that general or ambiguous words in legislation are insufficient to interfere with certain common law rights) and the presumption that legislation is to be interpreted consistently with international treaties. This article considers the role of these common law interpretive principles in Hong Kong, and, in particular, the scope for their application in light of the Basic Law and the BORO. It concludes that the protection of fundamental rights in Hong Kong will continue to focus on the Basic Law and the BORO for so long as the current constitutional arrangements persist. However, the courts ought to take care to pay due regard to the relevant common law interpretive principles, including the stringency of the test of necessary implication where a statutory interference with rights is not express, and the potential for the International Covenant on Economic, Social and Cultural Rights to be relevant to statutory interpretation.
"
7,"The common law on vicarious liability is unsatisfactory because the doctrine is couched at such a high level of generality that it cannot yield predictable results when applied to a given fact situation. This paper is an attempt to inject some precision into the doctrine. It examines and rejects three justifications for the doctrine: effective compensation/risk spreading, deterrence and certain theories related to quid pro quo. It then proposes the most suitable justification for the doctrine: vicarious liability is imposed because and when the defendant, by placing the tortfeasor in the position in its organisation that it did with that position's accompanying privileges and demands, had created or significantly enhanced the risk of the claimants injury. Three implications follow from this justification: (1) there is no vicarious liability for the wrongful acts of independent contractors; (2) agency reasoning should be rejected; and (3) we should stop using the phrase enterprise-risk approach.
"
8,"This paper considers how three jurisdictions, Canada, the United States and the United Kingdom, have sought to reconcile freedom of religion with equality rights, particularly in the commercial context, and particularly in relation to sexual orientation. The recent decisions of the United Kingdom Supreme Court and United States Supreme Court form the backdrop for that discussion. It is argued that the former made piecemeal, and misleading, use of American case law, and a fuller consideration of that jurisdictions position was warranted, and would have led to a different view of the recent American decision. It argues that the United Kingdom Supreme Court was in error in viewing a message on a cake ordered from a baker as an example of the baker's expression, leading it to an incorrect conclusion at odds with statutory mandates in the commercial sphere around refusals of service. Both high court decisions risk undermining progress on the equality front.
"
9,"It is commonly understood that contract law and property law are different areas of law which address different issues. This article departs from this conventional position in a rather radical way by arguing that the conclusion, amendment, and termination of contracts are in fact property law transactions and that the strict divide between contract law and property law is therefore not justifiable. It demonstrates theoretical and practical implications as contract law must be redefined and aligned with the general property law framework to avoid inconsistencies and thus the violation of the notion of formal rationality.
"
10,"The difficulties in balancing judicial independence and accountability, the importance of formal processes around the investigation of judicial conduct, and the need for clarity on the respective roles of the branches of government under the separation of powers were all issues that were highlighted by the recent controversy surrounding the conduct of a Supreme Court Judge in Ireland. This article considers the detail of the controversy, in the context of the Irish system governing judicial discipline and removal, analyses certain problems underlined by the episode, and finally reflects on lessons that may be helpful for any jurisdiction grappling with the complex issues involving judicial discipline and removal.
"
11,"While it is true that the expanded use of health information and electronic health records (eHRs) can help deliver better healthcare, there remains the need to reconcile citizens legitimate concerns for privacy protection and confidentiality in the use of their personal health data, and the potential for violation of their privacy. Under the Hong Kongs Electronic Health Record Sharing System (eHRSS), the eHR of the individual patient can be accessed and shared between healthcare providers for healthcare-related purposes. Although the Electronic Health Record Sharing System Ordinance (Cap 625) (the eHRSSO) and the Personal Data (Privacy) Ordinance (Cap 486) (the PD(P)O) provide protection for personal data and patients privacy, the eHRSS has come under greater scrutiny given the rise in data breaches experienced globally and in Hong Kong. The articles objective is twofold. It first examines the eHRSS specifically with regard to some of the more pertinent provisions of the eHRSSO and the PD(P)O, to critically evaluate the extent to which these provisions ensure and protect patient privacy. Thence it offers suggestions and recommendations as to how protection for patient privacy can be enhanced and, indeed, altogether better ensured.
"
