,0
0,"1. Both PI3K signaling quality (interaction partners, effectors) and quantity 
(strength, kinetics) differ across contexts, and are under dynamic regulation. 
2. Rather than as a simple ON/OFF cellular switch, the PI3K signaling pathway 
should be viewed as a highly sensitive dial, whose accurate tuning is a 
prerequisite for a given cell’s optimal function. 3. Information transmission 
within the PI3K signaling pathway is not linear but features complex network 
properties whose understanding is necessary for successful pharmacological 
targeting in cancer. 4. Despite the relatively small number of known 
(epi)genetic alterations in the PI3K pathway in hematological malignancies, 
leukemic cells often hijack its functionality for enhanced survival, 
uncontrolled proliferation and reprogramming of their microenvironment."
1,"Tobacco product use rates among Native Hawaiian/Pacific Islander (NHPI), Asian 
American, and Filipino American young adults in Hawai'i have risen rapidly in 
recent years following the introduction of electronic nicotine delivery systems. 
Though some research has examined tobacco use correlates for these demographics 
of young adults, research examining protective factors, such as cultural 
connectedness, is lacking. Additionally, research that disaggregates Asian 
Americans from Pacific Islanders is scarce, despite the differing risk and 
protective factors that have been determined for each group. This study 
separately examined cultural connectedness among NHPIs, Asian Americans, and 
Filipino Americans to help fill the gaps in the current tobacco product 
literature. The findings indicated that Asian Americans and Filipino Americans 
who identify more with their own cultures are less likely to use e-cigarettes; 
however, this relationship was not supported for NHPIs. No significant evidence 
was found to indicate a relationship between cultural connectedness and 
combustible cigarette use among any of the sampled groups. The lack of 
relationship between cultural connectedness and e-cigarette use among Native 
Hawaiians may be explained by measurement limitations in the study, and suggest 
the need for more culturally competent scales (e.g., an enculturation scale) 
that account for Indigenous status."
2,"PURPOSE OF REVIEW: The development of immune checkpoint inhibitor (ICI) 
immunotherapy has revolutionized the treatment of several cancers. Malignancies 
are one of the leading causes of death in solid organ transplant recipients 
(SOTRs). Although ICI treatment may be an effective option in treating 
malignancies in SOTRs, concerns about triggering allograft rejection have been 
raised in this population. Herein, we will review currently available data 
regarding patients, allograft and malignancy outcomes in SOTRs who received ICI 
therapy.
RECENT FINDINGS: Cancer incidence is three to five-fold higher among SOTRs, 
compared with the general population. Skin cancer is the most prevalent cancer 
after transplant, followed by kidney cancer, lymphoma and Kaposi sarcoma. There 
are no large prospective studies evaluating ICI therapy's use for treating 
cancers in SOTRs. However, retrospective studies have shown that ICI treatment 
may be associated with improved malignancy outcomes and overall survival (OS). 
However, the risk of allograft rejection is high (around 40%) of whom about half 
lose their allograft. Maintaining higher levels of immunosuppression may be 
associated with a lower risk of allograft rejection, but potentially worse 
malignancy outcomes.
SUMMARY: Although ICI treatment may be associated with improved patient and 
malignancy outcomes, the risk of allograft rejection and loss are high. 
Prospective studies are needed to confirm the benefits of ICI therapy in SOTRs 
and to evaluate the optimal immunosuppression regimen modifications, if any, to 
improve patient, malignancy and allograft outcomes in transplant recipients."
3,"Colorectal cancer (CRC) is one of the most common malignant tumor types 
occurring in the digestive system. The incidence of CRC has exhibits yearly 
increases and the mortality rate among patients with CRC is high. The 
Wnt/β‑catenin signaling pathway, which is associated with carcinogenesis, is 
abnormally activated in CRC. Most patients with CRC have adenomatous polyposis 
coli mutations, while half of the remaining patients have β‑catenin gene 
mutations. Therefore, targeting the Wnt/β‑catenin signaling pathway for the 
treatment of CRC is of clinical value. In recent years, with in‑depth research 
on the Wnt/β‑catenin signaling pathway, inhibitors have been developed that are 
able to suppress or hinder the development and progression of CRC. In the 
present review, the role of the Wnt/β‑catenin signaling pathway in CRC is 
summarized, the research status on Wnt/β‑catenin pathway inhibitors is outlined 
and potential targets for inhibition of this pathway are presented."
4,"Genetic alterations drive tumor onset and progression. However, the cross‑talk 
between tumor cells and the benign components of the surrounding stroma can also 
promote the initiation, progression and metastasis of solid tumors. These 
cellular and non‑cellular stromal components form the tumor microenvironment 
(TME), which co‑evolves with tumor cells. Their dynamic and mutualistic 
interactions are currently considered to be among the distinctive hallmarks of 
cancer. Biochemical and physical cues from the TME serve an essential role in 
regulating tumor onset and progression. They are also associated with resistance 
to treatment and poor prognosis in patients with cancer. Therefore, a deep 
understanding of the TME is vital for developing potent anticancer therapeutics 
and improving patient outcomes. The present review aims to review the biology of 
both cellular and non‑cellular constituents of the TME and novel findings 
regarding their contribution to core as well as emerging cancer hallmarks. The 
present review also describes key TME markers that are either targeted in 
interventional clinical trials or serve as promising potential anticancer 
therapies. Understanding TME components and their intercellular interactions is 
key toward identifying the mechanisms of progression and treatment resistance. 
Such understanding is of utmost significance for personalized and effective 
cancer therapy strategies."
5,"The epidermal growth factor receptor (EGFR) remains one of the best molecules 
for developing targeted therapy for multiple human malignancies, including head 
and neck squamous cell carcinoma (HNSCC). Small molecule inhibitors or 
antibodies targeting EGFR have been extensively developed in recent decades. 
Immunotoxin (IT)‑based therapy, which combines cell surface binding ligands or 
antibodies with a peptide toxin, represents another cancer treatment option. A 
total of 3 diphtheria toxin (DT)‑based fusion toxins that target human 
EGFR‑monovalent EGFR IT (mono‑EGF‑IT), bivalent EGFR IT (bi‑EGF‑IT), and a 
bispecific IT targeting both EGFR and interleukin‑2 receptor (bis‑EGF/IL2‑IT) 
were recently generated by the authors. Improved efficacy and reduced toxicity 
of bi‑EGF‑IT compared with mono‑EGF‑IT in immunocompromised HNSCC mouse models 
was reported. In the present study, bis‑EGF/IL2‑IT were generated using a unique 
DT‑resistant yeast expression system and evaluated the in vitro and in vivo 
efficacy and toxicity of the 3 EGF‑ITs in immunocompetent mice. The results 
demonstrated that while the three EGF‑ITs had different efficacies in vitro and 
in vivo against HNSCC, bi‑EGF‑IT and bis‑EGF/IL2‑IT had significantly improved 
in vivo efficacy and remarkably less off‑target toxicity compared with 
mono‑EGF‑IT. In addition, bis‑EGF/IL2‑IT was superior to bi‑EGF‑IT in reducing 
tumor size and prolonging survival in the metastatic model. These data suggested 
that targeting either the tumor immune microenvironment or enhancing the binding 
affinity could improve the efficacy of IT‑based therapy. Bi‑EGF‑IT and 
bis‑EGF/IL2‑IT represent improved candidates for IT‑based therapy for future 
clinical development."
6,"Cancer liquid biopsy (CLB) aims for the detection of circulating tumor cells, 
cell‑free DNA or RNA, and specifically expressed proteins, lipids and 
metabolites present in the bio‑fluids of patients. Rapid advances in 
technologies for sampling such bio‑specimens and for genomic sequencing have 
fostered the development of authority‑approved CLB tests in clinical practice 
for the early screening and diagnosis of malignancies. However, perhaps some 
solid tumors could have been reliably detected using CLB, while they were still 
too small to be found in patients using currently available imaging 
technologies. This could impose troublesome clinical scenarios. In this 
communication article, the author would like to propose a potential solution 
that eventually may be used to combat such unwanted embarrassing clinical issues 
by using one episode of targeted radiotheragnostics, namely OncoCiDia."
7,"Hepatocellular carcinoma (HCC) is the leading cause of cancer‑associated death 
in the world. Chemotherapy remains the primary treatment method for HCC. Despite 
advances in chemotherapy and modalities, recurrence and resistance limit 
therapeutic success. Salidroside (Sal), a bioactive component extracted from the 
rhizome of Rhodiola rosea L, exhibits a spectrum of biological activities 
including antitumor effects. In the present study, it was demonstrated that Sal 
could induce apoptosis and autophagy of 97H cells by using CCK‑8 assay, 
transmission electron microscopy (TEM), Hoechst33342 staining, MDC staining, 
western blotting. Pretreatment with Sal enhanced apoptosis and autophagy via 
upregulation of expression levels of Bax, Caspase‑3, Caspase‑9, light chain 
(LC)3‑II and Beclin‑1 proteins and downregulation of expression levels of Bcl‑2, 
LC3‑I and p62 protein in 97H cells. Furthermore, Sal was demonstrated to inhibit 
activation of the PI3K/Akt/mTOR signaling pathway and, when combined with 
autophagy inhibitor chloroquine diphosphate (CQ), increased phosphorylation of 
PI3K, Akt and mTOR proteins. The combined treatment with Sal and CQ not only 
decreased Sal‑induced autophagy, but also accelerated Sal‑induced apoptosis. 
Therefore, Sal‑induced autophagy might serve a role as a defense mechanism in 
human liver cancer cells and its inhibition may be a promising strategy for the 
adjuvant chemotherapy of liver cancer."
8,"The mechanism underlying bladder cancer metastasis is associated with tumor 
angiogenesis. The present study aimed to evaluate the predictive role and value 
of an angiogenesis‑associated long non‑coding (lnc)RNA signature in patients 
with bladder cancer and the role of long intergenic non‑coding RNA (LINC)02321 
in the progression of this malignancy. Angiogenesis‑related lncRNAs were 
screened using Pearson correlation analysis and the signaturewas constructed 
using Cox regression analysis and evaluated using the receiver operating 
characteristic curve. LINC02321, which expressed the largest difference in 
bladder cancer, was screened using reverse transcription‑quantitative PCR. The 
role of LINC02321 in the malignant progression of bladder cancer was evaluated 
using Transwell, wound healing and Cell Counting Kit 8 assays. A total of six 
angiogenesis‑associated lncRNAs (USP30‑AS1, LINC02321, PSMB8‑AS1, KRT7‑AS, 
LINC01767 and OCIAD1‑AS1) were identified as candidates for the prognostic 
signature using Cox regression analysis. The overall survival of patients in the 
low‑risk group was significantly longer compared with that in the high‑risk 
group, with the highest area under the curve value being 0.807. A nomogram was 
constructed based on the traditional clinical indicators (age, sex, grade, 
American Joint Committee on Cancer stage) and risk score of patients. Compared 
with the traditional clinical indicators, the risk score demonstrated better 
clinical prediction capacity for predicting the prognosis of patients with 
bladder cancer. The Cancer Genome Atlas prediction and RT‑qPCR experimental 
results demonstrated that only LINC02321 was highly expressed in bladder cancer 
tissue and promoted the proliferation, invasion, migration and cisplatin 
resistance of the malignancy. Gene set enrichment, Pearson's correlation 
analysis and experimental results demonstrated that the VEGFA signalling pathway 
may be involved in the LINC02321‑regulated progression of bladder cancer. In 
conclusion, the six angiogenesis‑associated lncRNA signatures reported in the 
present study may be used to predict the prognosis of patients with bladder 
cancer, and LINC02321 promoted malignant progression of bladder cancer via the 
VEGFA signalling pathway."
9,"Author information:
(1)Aix Marseille Univ, APHM, INSERM, INRAE, C2VN, Marseille, France (F.M., R.V., 
S.B.).
(2)Department of Nutrition, Metabolic Diseases, Endocrinology, La Conception 
Hospital, Marseille, France (F.M., R.V., S.B.).
(3)Aix Marseille University, APHM, INSERM, IRD, SESSTIM, Sciences Economiques & 
Sociales de la Santé & Traitement de l'Information Médicale, Hop Timone, ISSPAM, 
BioSTIC, Biostatistique et Technologies de l'Information et de la Communication, 
Marseille, France (R.G.).
(4)Department of Endocrinology and Metabolism,Cardiovascular Prevention Unit, 
Sorbonne University Hospital Pitié-Salpêtrière Hospital, AP-HP.SU, Paris, France 
(A.G.).
(5)INSERM, UMR-1166, Institute of Cardiometabolism and Nutrition, Sorbonne 
University, Paris, France (A.G.).
(6)Department of Cardiology, Faculty of Medicine, Sorbonne Université, GRC n°22, 
C²MV-Complications Cardiovasculaires et Métaboliques Chez les Patients Vivant 
Avec le Virus de l'immunodéficience Humaine, Inserm UMR_S 938, Centre de 
Recherche Saint-Antoine, Institut Hospitalo-Universitaire de Cardio-métabolisme 
et Nutrition (ICAN), AP-HP, Hôpitaux de l'Est Parisien, Hôpital Saint-Antoine, 
Paris, France (F.B.).
(7)Service Endocrinologie Métabolisme et Prévention Cardiovasculaire, Institut 
E3M et IHU Cardiométabolique, Sorbonne Université et Hôpital Pitié Salpêtrière, 
Paris (E.B.).
(8)Department of Biochemistry, Obesity and Dyslipidemia Genetics Unit, Sorbonne 
University Hospital Pitié-Salpêtrière (A.C.).
(9)UMR INSERM U 1069 - Nutrition, Croissance et Cancer (N2C) - UFR de Médecine, 
Tours, France (R.H.).
(10)EA 7525, University Hospital of Martinique (J.I.).
(11)Département EDN, CHU Angers (S.L.).
(12)CarMen Laboratory, INSERM, INRA, INSA Lyon, Université Claude Bernard Lyon 
1, Pierre-Bénite, France (P.M.).
(13)Fédération d'endocrinologie, Maladies Métaboliques, Diabète et Nutrition, 
Hôpital Louis Pradel, GHE, Hospices Civils de Lyon, France (P.M.)."
