,0
0,"1. Both PI3K signaling quality (interaction partners, effectors) and quantity 
(strength, kinetics) differ across contexts, and are under dynamic regulation. 
2. Rather than as a simple ON/OFF cellular switch, the PI3K signaling pathway 
should be viewed as a highly sensitive dial, whose accurate tuning is a 
prerequisite for a given cell’s optimal function. 3. Information transmission 
within the PI3K signaling pathway is not linear but features complex network 
properties whose understanding is necessary for successful pharmacological 
targeting in cancer. 4. Despite the relatively small number of known 
(epi)genetic alterations in the PI3K pathway in hematological malignancies, 
leukemic cells often hijack its functionality for enhanced survival, 
uncontrolled proliferation and reprogramming of their microenvironment."
1,"PURPOSE OF REVIEW: We aim to discuss current literature on novel therapies for 
antibody-mediated rejection (AMR) in kidney transplantation with a focus on 
chronic AMR.
RECENT FINDINGS: IL-6/IL-6 receptor blockers appear promising in the treatment 
of chronic AMR. Blocking this pathway was shown to reduce human leucocyte 
antigen-antibodies, improve histologic inflammation and increase T-regulatory 
cells. Based on experience in desensitization, IgG degrading endopeptidase, 
imlifidase, could be effective in AMR. There have been case reports describing 
the successful use of plasma cell/natural killer-cell-directed anti-CD38 
antibody in the treatment of AMR. Off-target effects have been noted and 
strategies to mitigate these will be needed when using these agents. Complement 
inhibitors could be an effective add-on strategy to antibody-depleting therapies 
but their role in AMR needs to be better defined. Combining proteasome 
inhibitors and costimulation blockers has shown encouraging results in the 
prevention of AMR in animal models and is now being investigated in humans. 
Other novel strategies such as Fc neonatal receptor blockers which inhibit the 
recycling of pathogenic IgG and bispecific antibodies against B-cell maturation 
antigen/CD3+ T cells warrant further investigation.
SUMMARY: There are now a number of emerging therapies with varied targets and 
mechanism(s) of action that hold promise in the management of AMR and improving 
allograft survival."
2,"PURPOSE OF REVIEW: Despite the availability of potent antivirals, consensus 
guidelines and decades of research, cytomegalovirus (CMV) continues to be 
associated with negative outcomes after solid organ transplant. This has been 
attributed to postprophylaxis CMV infection and a lack of development of 
CMV-specific cell mediated immunity (CMI). A shift from a focus on antiviral 
prevention to a focus on CMI target attainment is needed to improve CMV outcomes 
after transplantation.
RECENT FINDINGS: There are many obstacles to CMI target attainment. Antiviral 
stewardship programs (AVS) have been employed to improve patient outcomes 
through appropriate antiviral use, reduction of unnecessary exposure and 
resistance mitigation. By focusing on the patient's unique substrate of 
conglomerate risk factors and addressing these factors specifically with 
evidenced based methodology, the AVS can address these obstacles, increasing 
rates of CMI and subsequently reducing risk of future CMV infection and negative 
outcomes.
SUMMARY: With its multidisciplinary composition utilizing decades of experience 
from antimicrobial stewardship principles and practices, the AVS is uniquely 
poised to facilitate the shift from a focus on prevention to CMI target 
attainment and be the supporting pillar for the frontline transplant clinician 
caring for transplant patients with CMV."
3,"The pearl oyster Pinctada imbricata radiata (Leach, 1814), from the Pacific 
Ocean, was one of the first species to reach via Suez the Mediterranean, 
colonizing the eastern basin and recently spreading to the western. The species 
showed to be able to adapt to a wide range of climatic, hydrological, and 
ecological conditions. Since 2000 it reached the Strait of Messina, where is now 
infesting the transitional waters of the oriented natural reserve ""Laguna di 
Capo Peloro."" Due to such resistance and adaptation ability, various assays were 
performed. Haemocyte morpho-functional aspects were evaluated in haemolymph 
samples fixed with 1% and 2% glutaraldehyde for optical and electron microscopy 
(TEM). The following assays were carried out: cell characterization using 
several dyes, detection of intra- and extracellular lipids, the capability of 
phagocytosis using the yeast Saccharomyces cerevisiae and to produce superoxide 
anion (O2- ). Detection of several enzymes, such as acid and alkaline 
phosphatase, arylsulfatase, chloro-acetylesterase and β-glucuronidase was also 
assessed. Cell count was demonstrated to be abundant with a mean of 
8.263 × 106 mm2  ± 0.935 × 106 (SD). Two main cell populations were noticed: 
granulocytes and hyalocytes, both competent for phagocytosis, to produce O2- , 
and characterized by lipids. Based on the granule analysis, enzymatic activity 
was also demonstrated. The observations under TEM confirmed all the results 
obtained. This study supports the hypothesis that P. imbricata radiata can be 
usefully employed as a model organism in environmental biomonitoring. Moreover, 
since the species represent potential threats to native species and ecosystems, 
further insights into its biological adaptations in invaded ecosystems are 
recommended."
4,"Genetic alterations drive tumor onset and progression. However, the cross‑talk 
between tumor cells and the benign components of the surrounding stroma can also 
promote the initiation, progression and metastasis of solid tumors. These 
cellular and non‑cellular stromal components form the tumor microenvironment 
(TME), which co‑evolves with tumor cells. Their dynamic and mutualistic 
interactions are currently considered to be among the distinctive hallmarks of 
cancer. Biochemical and physical cues from the TME serve an essential role in 
regulating tumor onset and progression. They are also associated with resistance 
to treatment and poor prognosis in patients with cancer. Therefore, a deep 
understanding of the TME is vital for developing potent anticancer therapeutics 
and improving patient outcomes. The present review aims to review the biology of 
both cellular and non‑cellular constituents of the TME and novel findings 
regarding their contribution to core as well as emerging cancer hallmarks. The 
present review also describes key TME markers that are either targeted in 
interventional clinical trials or serve as promising potential anticancer 
therapies. Understanding TME components and their intercellular interactions is 
key toward identifying the mechanisms of progression and treatment resistance. 
Such understanding is of utmost significance for personalized and effective 
cancer therapy strategies."
5,"The epidermal growth factor receptor (EGFR) remains one of the best molecules 
for developing targeted therapy for multiple human malignancies, including head 
and neck squamous cell carcinoma (HNSCC). Small molecule inhibitors or 
antibodies targeting EGFR have been extensively developed in recent decades. 
Immunotoxin (IT)‑based therapy, which combines cell surface binding ligands or 
antibodies with a peptide toxin, represents another cancer treatment option. A 
total of 3 diphtheria toxin (DT)‑based fusion toxins that target human 
EGFR‑monovalent EGFR IT (mono‑EGF‑IT), bivalent EGFR IT (bi‑EGF‑IT), and a 
bispecific IT targeting both EGFR and interleukin‑2 receptor (bis‑EGF/IL2‑IT) 
were recently generated by the authors. Improved efficacy and reduced toxicity 
of bi‑EGF‑IT compared with mono‑EGF‑IT in immunocompromised HNSCC mouse models 
was reported. In the present study, bis‑EGF/IL2‑IT were generated using a unique 
DT‑resistant yeast expression system and evaluated the in vitro and in vivo 
efficacy and toxicity of the 3 EGF‑ITs in immunocompetent mice. The results 
demonstrated that while the three EGF‑ITs had different efficacies in vitro and 
in vivo against HNSCC, bi‑EGF‑IT and bis‑EGF/IL2‑IT had significantly improved 
in vivo efficacy and remarkably less off‑target toxicity compared with 
mono‑EGF‑IT. In addition, bis‑EGF/IL2‑IT was superior to bi‑EGF‑IT in reducing 
tumor size and prolonging survival in the metastatic model. These data suggested 
that targeting either the tumor immune microenvironment or enhancing the binding 
affinity could improve the efficacy of IT‑based therapy. Bi‑EGF‑IT and 
bis‑EGF/IL2‑IT represent improved candidates for IT‑based therapy for future 
clinical development."
6,"Cancer liquid biopsy (CLB) aims for the detection of circulating tumor cells, 
cell‑free DNA or RNA, and specifically expressed proteins, lipids and 
metabolites present in the bio‑fluids of patients. Rapid advances in 
technologies for sampling such bio‑specimens and for genomic sequencing have 
fostered the development of authority‑approved CLB tests in clinical practice 
for the early screening and diagnosis of malignancies. However, perhaps some 
solid tumors could have been reliably detected using CLB, while they were still 
too small to be found in patients using currently available imaging 
technologies. This could impose troublesome clinical scenarios. In this 
communication article, the author would like to propose a potential solution 
that eventually may be used to combat such unwanted embarrassing clinical issues 
by using one episode of targeted radiotheragnostics, namely OncoCiDia."
7,"Hepatocellular carcinoma (HCC) is the leading cause of cancer‑associated death 
in the world. Chemotherapy remains the primary treatment method for HCC. Despite 
advances in chemotherapy and modalities, recurrence and resistance limit 
therapeutic success. Salidroside (Sal), a bioactive component extracted from the 
rhizome of Rhodiola rosea L, exhibits a spectrum of biological activities 
including antitumor effects. In the present study, it was demonstrated that Sal 
could induce apoptosis and autophagy of 97H cells by using CCK‑8 assay, 
transmission electron microscopy (TEM), Hoechst33342 staining, MDC staining, 
western blotting. Pretreatment with Sal enhanced apoptosis and autophagy via 
upregulation of expression levels of Bax, Caspase‑3, Caspase‑9, light chain 
(LC)3‑II and Beclin‑1 proteins and downregulation of expression levels of Bcl‑2, 
LC3‑I and p62 protein in 97H cells. Furthermore, Sal was demonstrated to inhibit 
activation of the PI3K/Akt/mTOR signaling pathway and, when combined with 
autophagy inhibitor chloroquine diphosphate (CQ), increased phosphorylation of 
PI3K, Akt and mTOR proteins. The combined treatment with Sal and CQ not only 
decreased Sal‑induced autophagy, but also accelerated Sal‑induced apoptosis. 
Therefore, Sal‑induced autophagy might serve a role as a defense mechanism in 
human liver cancer cells and its inhibition may be a promising strategy for the 
adjuvant chemotherapy of liver cancer."
8,"The mechanism underlying bladder cancer metastasis is associated with tumor 
angiogenesis. The present study aimed to evaluate the predictive role and value 
of an angiogenesis‑associated long non‑coding (lnc)RNA signature in patients 
with bladder cancer and the role of long intergenic non‑coding RNA (LINC)02321 
in the progression of this malignancy. Angiogenesis‑related lncRNAs were 
screened using Pearson correlation analysis and the signaturewas constructed 
using Cox regression analysis and evaluated using the receiver operating 
characteristic curve. LINC02321, which expressed the largest difference in 
bladder cancer, was screened using reverse transcription‑quantitative PCR. The 
role of LINC02321 in the malignant progression of bladder cancer was evaluated 
using Transwell, wound healing and Cell Counting Kit 8 assays. A total of six 
angiogenesis‑associated lncRNAs (USP30‑AS1, LINC02321, PSMB8‑AS1, KRT7‑AS, 
LINC01767 and OCIAD1‑AS1) were identified as candidates for the prognostic 
signature using Cox regression analysis. The overall survival of patients in the 
low‑risk group was significantly longer compared with that in the high‑risk 
group, with the highest area under the curve value being 0.807. A nomogram was 
constructed based on the traditional clinical indicators (age, sex, grade, 
American Joint Committee on Cancer stage) and risk score of patients. Compared 
with the traditional clinical indicators, the risk score demonstrated better 
clinical prediction capacity for predicting the prognosis of patients with 
bladder cancer. The Cancer Genome Atlas prediction and RT‑qPCR experimental 
results demonstrated that only LINC02321 was highly expressed in bladder cancer 
tissue and promoted the proliferation, invasion, migration and cisplatin 
resistance of the malignancy. Gene set enrichment, Pearson's correlation 
analysis and experimental results demonstrated that the VEGFA signalling pathway 
may be involved in the LINC02321‑regulated progression of bladder cancer. In 
conclusion, the six angiogenesis‑associated lncRNA signatures reported in the 
present study may be used to predict the prognosis of patients with bladder 
cancer, and LINC02321 promoted malignant progression of bladder cancer via the 
VEGFA signalling pathway."
9,"CXCR4 is a seven‑transmembrane‑spanning Gi‑coupled receptor for the SDF‑1 
chemokine and plays a critical role in cardiovascular development and 
post‑injury repair. However, the specific role of CXCR4 in cardiomyocytes is 
incompletely understood. It was hypothesized that CXCR4 activation in 
cardiomyocytes antagonizes β‑adrenoceptor/Gs signaling‑induced cardiac 
dysfunction. Cardiomyocyte‑specific CXCR4 knockout (CXCR4‑CMKO) mice were 
generated by crossing CXCR4fl/fl and MHC‑Cre+/‑ mice. Their cardiac structure 
and function in the basal state are equivalent to that of the control MHC‑Cre+/‑ 
littermates until at least 4 months old. However, following continuous 
subcutaneous administration of isoproterenol (Iso) via an osmotic mini‑pump, the 
ventricular myocardial contractility, dilation, cardiomyocyte apoptosis, and 
interstitial fibrosis are worse in CXCR4‑CMKO mice than in MHC‑Cre+/‑ 
littermates. In the cultured H9C2 cardiomyocytes, SDF‑1 treatment markedly 
attenuated Iso‑induced apoptosis and reduction in phospho‑Akt, and this 
protective effect was lost by knockdown of CXCR4 or by co‑treatment with Gi 
inhibitors. In conclusion, CXCR4 promotes cardiomyocyte survival and heart 
function during β‑adrenergic stress."
