,0
0,"BACKGROUND: Normalizing health-related quality of life (QoL) and fatigue are 
important long-term treatment targets in inflammatory bowel disease (IBD). We 
examined their evolution in relation to changes in disease activity during 
vedolizumab therapy.
METHODS: Cohort study of biologically refractory IBD patients treated with 
vedolizumab. Patients were prospectively evaluated at all infusions by Short 
Health Scale (SHS) (QoL questionnaire covering four health dimensions) (n=79), 
visual analogous scale for fatigue (VAS-F) (n=30), and clinical disease 
activity. Objective disease assessment was done after one year or at treatment 
failure.
RESULTS: Patients in steroid-free clinical remission at end of induction 
improved significantly in all SHS items already from week 2 with full 
implementation by week 14 ('Symptoms' 59% improvement, p<0.001; Function' 63%, 
p<0.001; Worries' 59%, p<0.001; 'Well-being' 40%, p<0.01). Then, SHS remained 
stable at background levels (<20) for one year (improvements 67%; 65%; 62%; 57%; 
p<0.001). Combined clinical-objective remission at one year was associated with 
highest SHS improvements (64-72%; p<0.001). Of note, early SHS improvements 
preceded manifestation of clinical remission in most patients (22 of 33; 67%). 
Clinical response materialized into late (week 6 or later) and minor SHS 
improvements (31-46%, p<0.001). Fatigue improved steadily over 6 months to 
background levels (VAS-F <4) among patients in clinical remission (45% decrease) 
or clinical-objective remission (41%). SHS and VAS-F impairment remained 
elevated in patients without effect of therapy.
CONCLUSION: QoL rapidly improves and predicts later significant 
clinical-objective efficacies of vedolizumab at end of induction and one year. 
Fatigue improves slowly after remission is attained."
1,"Microbial diversity positively influences community resilience of the host 
microbiome. However, extinction risk factors such as habitat specialization, 
narrow environmental tolerances, and exposure to anthropogenic disturbance may 
homogenize host-associated microbial communities critical for stress responses 
including disease defense. In a dataset containing 43 threatened and 90 
non-threatened amphibian species across two biodiversity hotspots (Brazil's 
Atlantic Forest and Madagascar), we found that threatened host species carried 
lower skin bacterial diversity, after accounting for key environmental and host 
factors. The consistency of our findings across continents suggests the broad 
scale at which low bacteriome diversity may compromise pathogen defenses in 
species already burdened with the threat of extinction."
2,"BACKGROUND: Splenic lymphangiomas (SL) are very rare benign cystic lesions found 
in pediatric population. Their occurrence in adults is exceptional. Splenectomy 
is the common management of splenic lesions for diagnostic and/or therapeutic 
purpose. Our aim is to report additional cases of SL diagnosed on splenectomy 
specimens at our Pathology laboratory with literature review.
METHODS: This is a retrospective study including all cases of splenectomy 
recorded at our Pathology laboratory (June 2020-August 2022). We performed a 
comparison of clinicopathological features between patients with SL and those 
with other benign splenic diseases.
RESULTS: Sixteen cases of splenectomy were included. The mean age was 
30.25 years (range of 6-70 years). The final histopathological diagnoses were 
congestive spleens in all cases of sickle cell disease (SCD) (5/16 patients, 
31.25%), splenic cystic lymphangiomas (4/16 patients, 25%), capsular splenic 
infiltration by gastric and colic cancers (3/16 cases, 18.75%), splenic abscess 
(2/16 cases, 12.5%) and splenic rupture with subcapsular hematoma (1/16 
patients, 6.25%). 12/16 patients (75%) had benign splenic conditions (4/12 with 
SL, 5/12 with SCD, 2/12 with abscess and 1/12 with splenic trauma). Patients 
with SL were older than those with other benign splenic conditions (mean age of 
28.27 years versus 20.87 years). Also patients with SL presented with massive 
splenomegaly (mean splenic weight of 1675 g versus 418.75 g, mean splenic size 
of 19.62 cm versus 14.63 cm). Open surgery was performed in 15/16 patients 
(93.75%).
CONCLUSION: Unlike previous studies, our series shows that SL are a common 
indication for splenectomy and occur in older patients with massive cystic 
splenomegaly. Open splenectomy is still an usual surgical practice in our 
country."
3,"BACKGROUND: Stage III non-small cell lung cancer (NSCLC) is a heterogeneous 
disease with different subtypes, multidisciplinary teams-led management, and a 
poor prognosis. Currently, the clinical benefits of stage III NSCLC in the 
neoadjuvant setting are still unclear. We performed a meta-analysis of published 
data on neoadjuvant chemoimmunotherapy in stage III NSCLC to systematically 
evaluate its efficacy and safety.
METHODS: We searched the databases to identify eligible studies of neoadjuvant 
chemoimmunotherapy for stage III NSCLC. The primary outcomes mainly included 
pathological and radiological response outcomes, the feasibility of surgery, and 
the safety of the regimen. The pathological and radiological response included 
the rate of major pathologic response (MPR), complete pathologic response (pCR), 
radiological response outcomes, and R0 resection; The feasibility included the 
rate of surgical resection, conversion to thoracotomy, surgical complications, 
pathological downstaging of clinical disease stage. The safety included the 
incidence of treatment-related adverse events (TRAEs) and severe adverse events 
(SAEs). R 4.1.3 software was conducted for data analysis, and p < 0.05 was 
considered statistically significant.
RESULTS: Nine trials containing a total of 382 populations were eligible for the 
meta-analysis, with the pooled surgical resection rate of 90%. Owing to the 
large heterogeneity of the single-rate meta-analysis, the random effect model 
was adopted. The estimated pooled prevalence of MPR was 56% (95%CI 0.39-0.72) 
and of pCR was 39% (95%CI 0.28-0.51). The pooled rate of TRAEs was 65% (95%CI 
0.17-0.99) and SAEs was 24% (95%CI 0.05-0.49).
CONCLUSION: Compared to neoadjuvant chemotherapy or immunotherapy, neoadjuvant 
chemoimmunotherapy achieved more pathological and radiological relief, and has a 
high surgical resection rate and low risk of conversion to thoracotomy and 
surgical complications, with poor tolerance of toxicity but rarely developing 
life-threatening adverse events. In conclusion, neoadjuvant chemoimmunotherapy 
is suggested to be beneficial for stage III NSCLC."
4,"Reducing drug development timelines is an industry-wide goal to bring medicines 
to patients in need more quickly. This was exemplified in the COVID-19 pandemic 
where reducing development timelines had a direct impact on the number of lives 
lost to the disease. The use of drug substance produced using cell pools, as 
opposed to clones, has the potential to shorten development timelines. Toward 
this goal, we have developed a novel technology, GPEx® Lightning, that allows 
for rapid, reproducible, targeted recombination of transgenes into more than 200 
Dock sites in the CHO genome. This allows for rapid production of high 
expressing stable cell pools and clones that reach titers of 4 to 12 g/L in 
generic fed-batch production. These pools and clones are highly stable in both 
titer and glycosylation, showing strong similarity in glycosylation profiles. 
This article is protected by copyright. All rights reserved."
5,"OBJECTIVE: The objective of this study was to report and discuss clinical 
analysis, including the diagnosis and treatment of 4 cases of neuromyelitis 
optica spectrum disease (NMOSD) with area postrema syndrome (APS) as the first 
symptom.
METHODS: Four patients with intractable nausea, vomiting, and confirmed NMOSD 
were included in the final analysis. All of these patients were initially 
misdiagnosed and mismanaged.
RESULTS: Among the 4 patients, 3 were admitted to the department of 
gastroenterology at the onset of the disease, and 2 were not correctly diagnosed 
and treated promptly due to misdiagnosis. Therefore, their symptoms worsened, 
and they were transferred to Intensive Care Unit (ICU) for life support. No 
obvious early medulla lesions were found in one patient. One patient was treated 
with intravenous immunoglobulin, methylprednisolone, and plasma exchange, but 
there was no significant clinical improvement, after which the disease relapsed 
during the treatment with low-dose rituximab.
CONCLUSION: The clinical manifestations of NMOSD are complex and diverse, and 
the initial symptoms, onset age of the patient, and magnetic resonance imaging 
(MRI) findings can influence the final diagnosis. Early identification of the 
APS and timely therapy can prevent visual and physical disabilities, even 
respiratory failure, coma, and cardiac arrest. Therefore, it is necessary to 
identify specific and sensitive serum and imaging markers for predicting the 
prognosis and recurrence of the disease."
6,"BACKGROUND: The purpose of this study is to evaluate the efficacy and safety of 
transcutaneous electrical acupoint stimulation (TEAS) in the postoperative 
treatment of patients undergoing inguinal hernia repair compared with sham and 
no treatment group.
METHODS: This study is a protocol for a three-armed, single-blinded, 
placebo-controlled randomized controlled trial. Ninety participants scheduled 
for inguinal hernia repair will be randomly assigned to the TEAS group (n = 30), 
sham group (n = 30), and control group (n = 30). The TEAS group will receive 
treatment using four portable coin-sized electro-stimulators at both local and 
distal acupuncture points. The sham group will receive sham treatment with mock 
electrostimulation. The treatment groups will receive mixed frequency 
stimulation (alternating at 2 and 100 Hz every 3 s) in continuous mode for 
30 min at intervals of 2 h for 24 h postoperatively. The control group will 
receive postoperative pain control using patient-controlled analgesia (PCA) 
device. The primary outcome is the total morphine dose received in the 
postoperative period (mg) using PCA 24 h after surgery. The number of PCA 
demands (i.e., times the button will be pressed) and delivered bolus doses, 
score on the Visual Analogue Scale, opioid-related side effects, the requirement 
for supplemental medications, score on the Hospital Anxiety and Depression Scale 
(HADS), and blood levels of stress hormones cortisol and prolactin.
DISCUSSION: The results of this trial will determine whether TEAS with 
intensified stimulation protocol is a safe and effective option for reducing 
analgesic consumption and postoperative pain.
TRIAL REGISTRATION: ISRCTN76428396. Registered on 05 October 2020. 
https://www.isrctn.com/ISRCTN76428396."
7,"BACKGROUND: Noninvasive ventilation (NIV) is the recommended mode of ventilation 
used in acute respiratory failure secondary to an acute exacerbation of chronic 
obstructive pulmonary disease (AECOPD). Recent data has shown that high-flow 
nasal cannula (HFNC) treatment can be an alternative for patients with 
hypercapnic respiratory failure. The purpose of this study is to evaluate HFNC 
with sequential NIV versus NIV alone as the initial ventilatory strategy in 
AECOPD.
METHODS: This investigator-initiated, unblinded, single center, randomized 
controlled trial will be conducted in the emergency department, emergency 
intensive care unit, or respiratory intensive care unit of a tertiary-care urban 
teaching hospital. A total of 66 patients will be enrolled and randomized into 
the intervention group (HFNC with sequential NIV) or the control group (NIV 
group). The primary endpoint will be the mean difference in PaCO2 from baseline 
to 24 h after randomization. Secondary endpoints include the mean difference in 
PaCO2 from baseline to 6, 12, and 18 h, as well as the dyspnea score, overall 
discomfort score, rate of treatment failure, respiratory rate, rate of 
endotracheal intubation, length of hospital stay, and mortality.
DISCUSSION: Taking the advantages of both HFNC and NIV on AECOPD patients into 
account, we designed this clinical trial to investigate the combination of these 
ventilatory strategies. This trial will help us understand how HFNC with 
sequential NIV compares to NIV alone in treating AECOPD patients.
TRIAL REGISTRATION: ChiCTR2100054809."
8,"Polycystic ovary syndrome (PCOS) is a gynaecological endocrine disease. The 
objective of the present study was to investigate the role of GTPase 
immunity-associated protein (GIMAP) 7 in PCOS. A PCOS rat model was established 
using dehydroepiandrosterone injection. The data showed that GIMAP7 was mainly 
located in granulosa cells and was abundantly expressed in the ovarian granulosa 
cells of PCOS rats. GIMAP7 silencing decreased blood glucose levels, HOMA-IR 
scores, and number of cystic follicles. In addition, GIMAP7 silencing corrected 
erratic oestrous cycles, inhibited apoptosis and reduced c-caspase-3 protein 
expression in the ovarian tissues of PCOS rats. GIMAP7 silencing reduced 
malondialdehyde (MDA) but increased glutathione (GSH) and superoxide dismutase 
(SOD) levels in the serum and ovarian tissues of PCOS rats. The effects of 
GIMAP7 were further investigated in human ovarian granulosa KGN cells. GIMAP7 
silencing increased the viability, promoted proliferation, and increased the 
percentage of S-phase KGN cells. The apoptosis rate was significantly decreased 
by GIMAP7 silencing. GIMAP7 also inhibited oxidative stress in KGN cells, 
resulting in decreased levels of reactive oxygen species (ROS) and MDA and 
increased levels of GSH and SOD. Notably, GIMAP7 inhibited the sonic hedgehog 
(SHH) signalling pathway, and GIMAP7 silencing increased the expression of the 
SHH signalling pathway downstream genes SHH, SMO, and Gli1. Inhibition of the 
SHH signalling pathway using cyclopamine reduced the effect of GIMAP7 silencing 
on KGN cells. This study proved that GIMAP7 promotes oxidative stress and 
apoptosis in ovarian granulosa cells in PCOS by inhibiting the SHH signalling 
pathway."
9,"BACKGROUND: After many years of neglect in the field of alternative splicing, 
the importance of intron retention (IR) in cancer has come into focus following 
landmark discoveries of aberrant IR patterns in cancer. Many solid and liquid 
tumours are associated with drastic increases in IR, and such patterns have been 
pursued as both biomarkers and therapeutic targets. Paradoxically, breast cancer 
(BrCa) is the only tumour type in which IR is reduced compared to adjacent 
normal breast tissue.
METHODS: In this study, we have conducted a pan-cancer analysis of IR with 
emphasis on BrCa and its subtypes. We explored mechanisms that could cause 
aberrant and pathological IR and clarified why normal breast tissue has 
unusually high IR.
RESULTS: Strikingly, we found that aberrantly decreasing IR in BrCa can be 
largely attributed to normal breast tissue having the highest occurrence of IR 
events compared to other healthy tissues. Our analyses suggest that low numbers 
of IR events in breast tumours are associated with poor prognosis, particularly 
in the luminal B subtype. Interestingly, we found that IR frequencies negatively 
correlate with cell proliferation in BrCa cells, i.e. rapidly dividing tumour 
cells have the lowest number of IR events. Aberrant RNA-binding protein 
expression and changes in tissue composition are among the causes of aberrantly 
decreasing IR in BrCa.
CONCLUSIONS: Our results suggest that IR should be considered for therapeutic 
manipulation in BrCa patients with aberrantly low IR levels and that further 
work is needed to understand the cause and impact of high IR in other tumour 
types."
