,0
0,"BACKGROUND: Prader-Willi syndrome (PWS) is a multisystemic complex genetic 
disorder caused by the loss of paternally expressed genes in the human 
chromosome region 15q11.2-q13. It is characterized by severe hypotonia and 
feeding difficulties in early infancy, followed in later infancy or early 
childhood by excessive eating and gradual development of morbid obesity. Motor 
milestones and language development are delayed and most patients have 
intellectual disability.
CASE PRESENTATION: Here we describe a rare PWS case caused by mosaic imprinting 
defect in the region 15q11.2-q13 of paternal origin. The proband was a male 
child with a clinical presentation of global developmental delay and hypotonia 
with specific facial features. Karyotype of the child was noted as mosaic: 
45XY,der(15)?t(15;21),-21[26]/46,XY[24]. Whole-exome sequencing (WES) identified 
a deletion of 22.7 Mb in size at chr15q11.2q21.1 region and a deletion of 2.1 Mb 
in size at chr21q22.3 region. The Methylation-specific multiplex 
ligation-dependent probe amplification(MS-MLPA) of the 15q11.2-q13 region showed 
that the loading ratio of methylated alleles was 70% and that of unmethylated 
alleles was 30%(50% normal), which confirmed that the loss of mosaic imprinted 
defects in the paternal allele led to the diagnosis of PWS.
CONCLUSIONS: We propose that complete clinical criteria for PWS should not be 
considered sensitive in diagnosing partial atypical PWS due to mosaic imprinting 
defects. In contrast, clinical suspicion based on less restrictive criteria 
followed by multiple techniques is a more powerful approach."
1,"BACKGROUND: Recently genome-based studies revealed that the abnormality of Hippo 
signaling is pervasive in TNBC and played important role in cancer progression. 
RING finger protein 31 (RNF31) comes to RING family E3 ubiquitin ligase. Our 
previously published studies have revealed RNF31 is elevated in ER positive 
breast cancer via activating estrogen signaling and suppressing P53 pathway.
METHODS: We used several TNBC cell lines and xenograft models and performed 
immuno-blots, QPCR, in vivo studies to investigate the function of RNF31 in TNBC 
progression.
RESULT: Here, we demonstrate that RNF31 plays tumor suppressive function in 
triple negative breast cancer (TNBC). RNF31 depletion increased TNBC cell 
proliferation and migration in vitro and in vitro. RNF31 depletion in TNBC 
coupled with global genomic expression profiling indicated Hippo signaling could 
be the potential target for RNF31 to exert its function. Further data showed 
that RNF31 depletion could increase the level of YAP protein, and Hippo 
signaling target genes expression in several TNBC cell lines, while clinical 
data illustrated that RNF31 expression correlated with longer relapse-free 
survival in TNBC patients and reversely correlated with YAP protein level. The 
molecular biology assays implicated that RNF31 could associate with YAP protein, 
facilitate YAP poly-ubiquitination and degradation at YAP K76 sites. 
Interestingly, RNF31 could also repress PDL1 expression and sensitive TNBC 
immunotherapy via inhibiting Hippo/YAP/PDL1 axis.
CONCLUSIONS: Our study revealed the multi-faced function of RNF31 in different 
subtypes of breast malignancies, while activation RNF31 could be a plausible 
strategy for TNBC therapeutics."
2,"BACKGROUND: Poly γ-glutamic acid (γ-PGA) is a promising biopolymer for various 
applications. For glutamic acid-independent strains, the titer of γ-PGA is too 
low to meet the industrial demand. In this study, we isolated a novel 
γ-PGA-producing strain, Bacillus tequilensis BL01, and multiple genetic 
engineering strategies were implemented to improve γ-PGA production.
RESULTS: First, the one-factor-at-a-time method was used to investigate the 
influence of carbon and nitrogen sources and temperature on γ-PGA production. 
The optimal sources of carbon and nitrogen were sucrose and (NH4)2SO4 at 37 °C, 
respectively. Second, the sucA, gudB, pgdS, and ggt genes were knocked out 
simultaneously, which increased the titer of γ-PGA by 1.75 times. Then, the 
titer of γ-PGA increased to 18.0 ± 0.3 g/L by co-overexpression of the citZ and 
pyk genes in the mutant strain. Furthermore, the γ-PGA titer reached 
25.3 ± 0.8 g/L with a productivity of 0.84 g/L/h and a yield of 1.50 g of 
γ-PGA/g of citric acid in fed-batch fermentation. It should be noted that this 
study enables the synthesis of low (1.84 × 105 Da) and high (2.06 × 106 Da) 
molecular weight of γ-PGA by BL01 and the engineering strain.
CONCLUSION: The application of recently published strategies to successfully 
improve γ-PGA production for the new strain B. tequilensis BL01 is reported. The 
titer of γ-PGA increased 2.17-fold and 1.32-fold compared with that of the wild 
type strain in the flask and 5 L fermenter. The strain shows excellent promise 
as a γ-PGA producer compared with previous studies. Meanwhile, different 
molecular weights of γ-PGA were obtained, enhancing the scope of application in 
industry."
3,"Polycystic ovary syndrome (PCOS) is a gynaecological endocrine disease. The 
objective of the present study was to investigate the role of GTPase 
immunity-associated protein (GIMAP) 7 in PCOS. A PCOS rat model was established 
using dehydroepiandrosterone injection. The data showed that GIMAP7 was mainly 
located in granulosa cells and was abundantly expressed in the ovarian granulosa 
cells of PCOS rats. GIMAP7 silencing decreased blood glucose levels, HOMA-IR 
scores, and number of cystic follicles. In addition, GIMAP7 silencing corrected 
erratic oestrous cycles, inhibited apoptosis and reduced c-caspase-3 protein 
expression in the ovarian tissues of PCOS rats. GIMAP7 silencing reduced 
malondialdehyde (MDA) but increased glutathione (GSH) and superoxide dismutase 
(SOD) levels in the serum and ovarian tissues of PCOS rats. The effects of 
GIMAP7 were further investigated in human ovarian granulosa KGN cells. GIMAP7 
silencing increased the viability, promoted proliferation, and increased the 
percentage of S-phase KGN cells. The apoptosis rate was significantly decreased 
by GIMAP7 silencing. GIMAP7 also inhibited oxidative stress in KGN cells, 
resulting in decreased levels of reactive oxygen species (ROS) and MDA and 
increased levels of GSH and SOD. Notably, GIMAP7 inhibited the sonic hedgehog 
(SHH) signalling pathway, and GIMAP7 silencing increased the expression of the 
SHH signalling pathway downstream genes SHH, SMO, and Gli1. Inhibition of the 
SHH signalling pathway using cyclopamine reduced the effect of GIMAP7 silencing 
on KGN cells. This study proved that GIMAP7 promotes oxidative stress and 
apoptosis in ovarian granulosa cells in PCOS by inhibiting the SHH signalling 
pathway."
4,"BACKGROUND: After many years of neglect in the field of alternative splicing, 
the importance of intron retention (IR) in cancer has come into focus following 
landmark discoveries of aberrant IR patterns in cancer. Many solid and liquid 
tumours are associated with drastic increases in IR, and such patterns have been 
pursued as both biomarkers and therapeutic targets. Paradoxically, breast cancer 
(BrCa) is the only tumour type in which IR is reduced compared to adjacent 
normal breast tissue.
METHODS: In this study, we have conducted a pan-cancer analysis of IR with 
emphasis on BrCa and its subtypes. We explored mechanisms that could cause 
aberrant and pathological IR and clarified why normal breast tissue has 
unusually high IR.
RESULTS: Strikingly, we found that aberrantly decreasing IR in BrCa can be 
largely attributed to normal breast tissue having the highest occurrence of IR 
events compared to other healthy tissues. Our analyses suggest that low numbers 
of IR events in breast tumours are associated with poor prognosis, particularly 
in the luminal B subtype. Interestingly, we found that IR frequencies negatively 
correlate with cell proliferation in BrCa cells, i.e. rapidly dividing tumour 
cells have the lowest number of IR events. Aberrant RNA-binding protein 
expression and changes in tissue composition are among the causes of aberrantly 
decreasing IR in BrCa.
CONCLUSIONS: Our results suggest that IR should be considered for therapeutic 
manipulation in BrCa patients with aberrantly low IR levels and that further 
work is needed to understand the cause and impact of high IR in other tumour 
types."
5,"RATIONALE: Recent research has indicated that cuprotosis, or copper induced cell 
death, is a novel type of cell death that could be utilized as a new weapon for 
cancer management. However, the characteristics and implications of such 
signatures in cancers, especially in clear cell renal cell cancer (ccRCC), 
remain elusive.
METHODS: Expression, methylation, mutation, clinical information, copy number 
variation, functional implication, and drug sensitivity data at the pan-cancer 
level were collected from The Cancer Genome Atlas. An unsupervised clustering 
algorithm was applied to decipher ccRCC heterogeneity. Immune microenvironment 
construction, immune therapy response, metabolic pattern, and cancer progression 
signature between subgroups were also investigated.
RESULTS: Cuprotosis related genes were specifically downregulated in various 
cancer tissues compared with normal tissues and were correlated with 
hypermethylation and copy number variation. Cuprotosis scores were also 
dysregulated in tumor tissues, and we found that such a signature could 
positively regulate oxidative phosphorylation and Myc and negatively regulate 
epithelial mesenchymal translation and myogenesis pathways. CPCS1 (cuprotosis 
scores high) and CPCS2 (cuprotosis scores low) in ccRCC displayed distinctive 
clinical profiles and biological characteristics; the CPCS2 subtype had a higher 
clinical stage and a worse prognosis and might positively regulate cornification 
and epidermal cell differentiation to fuel cancer progression. CPCS2 also 
displayed a higher tumor mutation burden and low tumor stemness index, while it 
led to a low ICI therapy response and dysfunctional tumor immunity state. The 
genome-copy numbers of CPCS2, including arm- gain and arm- loss, were higher 
than those of CPCS1. The prognostic model constructed based on subgroup 
biomarkers exerted satisfactory performance in both the training and validation 
cohorts. In addition, overexpression of the copper death activator DLAT 
suppressed the malignant ability, including cell migration and proliferation, of 
renal cell lines in vitro and in vivo. Finally, activation of cuprotosis in 
tumors could enhance antitumor immunity through dsDNA-cGAS-STING signaling in 
ccRCC.
CONCLUSION: The activation of cuprotosis might function as a promising approach 
among multiple cancers. The cuprotosis related signatures could reshape tumor 
immunity in the ccRCC microenvironment via cGAS-STING signal, thus activating 
tumor antigen-presenting process. Upregulation of DLAT expression in ccRCC cell 
lines could reactivate the copper death pattern and be treated as a suitable 
target for ccRCC."
6,"Anti-CD38 monoclonal antibodies (mAbs), daratumumab, and isatuximab have 
represented a breakthrough in the treatment of multiple myeloma (MM). Recently, 
CD38-based mAbs were expected to achieve increasing potential beyond MM, which 
encouraged us to develop new anti-CD38 mAbs to meet clinical needs. In this 
study, we developed a novel humanized anti-CD38 antibody, FTL004, which 
exhibited enhanced pro-apoptotic ability and negligible binding to red blood 
cells (RBCs). FTL004 presented a better ability to induce direct apoptosis 
independent of Fc-mediated cross-linking against lymphoma and MM cell lines as 
well as primary myeloma cells derived from MM patients. For instance, FTL004 
induced RPMI 8226 cells with 55% early apoptosis cells compared with 20% in the 
isatuximab-treated group. Of interest, FTL004 showed ignorable binding to CD38 
on human RBCs in contrast to tumor cells, even at concentrations up to 30 μg/mL. 
Furthermore, with an engineered Fc domain, FTL004 displayed stronger 
antibody-dependent cellular cytotoxicity (ADCC) against CD38+ malignant cells. 
In vivo MM and non-Hodgkin lymphoma tumor xenograft models showed that FTL004 
possessed an effective anti-tumor effect. Cryo-electron microscopy structure 
resolved two epitope centers of FTL004 on CD38: one of which was unique while 
the other partly overlapped with that of isatuximab. Taken together, FTL004 
distinguishes it from other CD38 targeting mAbs and represents a potential 
candidate for the treatment of MM and non-Hodgkin lymphoma."
7,"BACKGROUND: Breast cancer (BC) is a highly malignant and heterogeneous tumor 
which is currently the cancer with the highest incidence and seriously endangers 
the survival and prognosis of patients. Aging, as a research hotspot in recent 
years, is widely considered to be involved in the occurrence and development of 
a variety of tumors. However, the relationship between aging-related genes 
(ARGs) and BC has not yet been fully elucidated.
MATERIALS AND METHODS: The expression profiles and clinicopathological data were 
acquired in the Cancer Genome Atlas (TCGA) and the gene expression omnibus (GEO) 
database. Firstly, the differentially expressed ARGs in BC and normal breast 
tissues were investigated. Based on these differential genes, a risk model was 
constructed composed of 11 ARGs via univariate and multivariate Cox analysis. 
Subsequently, survival analysis, independent prognostic analysis, time-dependent 
receiver operating characteristic (ROC) analysis and nomogram were performed to 
assess its ability to sensitively and specifically predict the survival and 
prognosis of patients, which was also verified in the validation set. In 
addition, functional enrichment analysis and immune infiltration analysis were 
applied to reveal the relationship between the risk scores and tumor immune 
microenvironment, immune status and immunotherapy. Finally, multiple datasets 
and real-time polymerase chain reaction (RT-PCR) were utilized to verify the 
expression level of the key genes.
RESULTS: An 11-gene signature (including FABP7, IGHD, SPIB, CTSW, IGKC, SEZ6, 
S100B, CXCL1, IGLV6-57, CPLX2 and CCL19) was established to predict the survival 
of BC patients, which was validated by the GEO cohort. Based on the risk model, 
the BC patients were divided into high- and low-risk groups, and the high-risk 
patients showed worse survival. Stepwise ROC analysis and Cox analyses 
demonstrated the good performance and independence of the model. Moreover, a 
nomogram combined with the risk score and clinical parameters was built for 
prognostic prediction. Functional enrichment analysis revealed the robust 
relationship between the risk model with immune-related functions and pathways. 
Subsequent immune microenvironment analysis, immunotherapy, etc., indicated that 
the immune status of patients in the high-risk group decreased, and the 
anti-tumor immune function was impaired, which was significantly different with 
those in the low-risk group. Eventually, the expression level of FABP7, IGHD, 
SPIB, CTSW, IGKC, SEZ6, S100B, CXCL1, IGLV6-57 and CCL19 was identified as 
down-regulated in tumor cell line, while CPLX2 up-regulated, which was mostly 
similar with the results in TCGA and Human Protein Atlas (HPA) via RT-PCR.
CONCLUSIONS: In summary, our study constructed a risk model composed of ARGs, 
which could be used as a solid model for predicting the survival and prognosis 
of BC patients. Moreover, this model also played an important role in tumor 
immunity, providing a new direction for patient immune status assessment and 
immunotherapy selection."
8,"BACKGROUND: As an attractive platform chemical, malic acid has been commonly 
used in the food, feed and pharmaceutical field. Microbial fermentation of 
biobased sources to produce malic acid has attracted great attention because it 
is sustainable and environment-friendly. However, most studies mainly focus on 
improving yield and ignore shortening fermentation time. A long fermentation 
period means high cost, and hinders the industrial applications of microbial 
fermentation. Stresses, especially oxidative stress generated during 
fermentation, inhibit microbial growth and production, and prolong fermentation 
period. Previous studies have shown that polypeptides could effectively relieve 
stresses, but the underlying mechanisms were poorly understood.
RESULTS: In this study, polypeptides (especially elastin peptide) addition 
improves the productivity of malic acid in A. niger, resulting in shortening of 
fermentation time from 120 to 108 h. Transcriptome and biochemical analyses 
demonstrated that both antioxidant enzyme-mediated oxidative stress defense 
system, such as superoxide dismutase (SOD), catalase (CAT) and glutathione 
peroxidase (GPX), and nonenzymatic antioxidant system, such as glutathione, were 
enhanced in the presence of elastin peptide, suggesting elastin peptide 
relieving oxidative stresses is involved in many pathways. In order to further 
investigate the relationship between oxidative stress defense and malic acid 
productivity, we overexpressed three enzymes (Sod1, CAT, Tps1) related to 
oxidation resistance in A. niger, respectively, and these resulting strains 
display varying degree of improvement in malic acid productivity. Especially, 
the strain overexpressing the Sod1 gene achieved a malate titer of 
91.85 ± 2.58 g/L in 96 h, corresponding to a productivity of 0.96 g/L/h, which 
performs better than elastin peptide addition.
CONCLUSIONS: Our investigation provides an excellent reference for alleviating 
the stress of the fungal fermentation process and improving fermentation 
efficiency."
9,"BACKGROUND: Osteopathia Striata with Cranial Sclerosis (OS-CS), also known as 
Horan-Beighton Syndrome, is a rare genetic disease; about 90 cases have been 
reported to date. It is associated with mutations (heterozygous for female 
subjects and hemizygous for males) of the AMER1 gene, located at Xq11.2, and 
shows an X-linked pattern of transmission. Typical clinical manifestations 
include macrocephaly, characteristic facial features (frontal bossing, 
epicanthal folds, hypertelorism, depressed nasal bridge, orofacial cleft, 
prominent jaw), hearing loss and developmental delay. Males usually present a 
more severe phenotype than females and rarely survive. Diagnostic suspicion is 
based on clinical signs, radiographic findings of cranial and long bones 
sclerosis and metaphyseal striations, subsequent genetic testing may confirm it.
CASE PRESENTATION: Hereby, we report on a female newborn with frontal and 
parietal bossing, narrow bitemporal diameter, dysplastic, 
low-set and posteriorly rotated ears, microretrognathia, cleft palate, and 
rhizomelic shortening of lower limbs. Postnatally, she manifested feeding 
intolerance with biliary vomiting and abdominal distension. Therefore, in the 
suspicion of bowel obstruction, she underwent surgery, which evidenced and 
corrected an intestinal malrotation. Limbs X-ray and skull computed tomography 
investigations did not show cranial sclerosis and/or metaphyseal striations. 
Array-CGH analysis revealed normal findings. Then, a target next generation 
sequencing (NGS) analysis, including the genes involved in skeletal dysplasias, 
was performed and revealed a de novo heterozygous nonsense mutation of the AMER1 
gene. The patient was discharged at 2 months of age and included in a 
multidisciplinary follow-up. Aged 9 months, she now shows developmental and 
growth (except for relative macrocephaly) delay. The surgical correction of 
cleft palate has been planned.
CONCLUSIONS: Our report shows the uncommon association of intestinal malrotation 
in a female newborn with OS-CS. It highlights that neonatologists have to 
consider such a diagnosis, even in absence of cranial sclerosis and long bones 
striations, as these usually appear over time. Other syndromes with cranial 
malformations and skeletal dysplasia must be included in the differential 
diagnosis. The phenotypic spectrum is wide and variable in both genders. Due to 
variable X-inactivation, females may also show a severe and early-onset clinical 
picture. Multidisciplinary management and careful, early and long-term follow-up 
should be offered to these patients, in order to promptly identify any 
associated morbidities and prevent possible complications or adverse outcomes."
