,0
0,"This research attempts to put forward an argument against the claim that the current legal/political system of Iran is undergoing a re-secularization process. It is argued, by focusing on concepts of the secular and the sacred/religious, that the system was never de-secularized by the Islamic Revolution of 1979. The reason derives from the facts that the main allegedly religious content of the new system is per se a secular entity, and that the existing constitutional structure is overwhelmingly secular. The content overwhelmingly originates in fiqh which is argued to be a secular entity, i.e., an amoral one, as it accommodates immorality. It is then claimed that what occurred by the Revolution was indeed the triumph of a traditional secularism over an exogenous modern secular establishment. Therefore, since the early months of the new regime a process of re-modernization, an endogenous one, has gradually taken form."
1,"This research paper examines how Bangladeshi youth perceive the role of Islam in their everyday lives and how this, in turn, informs broader political participation and radicalism. The emphasis is on unpacking the politics of meaning-making of Islam at the informal and individual levels eschewing a high politics approach that constitutes formal institutions and structures. Drawing on field-data collected in 2017 and 2018, this paper offers insights on the politics of faith in the everyday lives of ordinary Bangladeshi youths whose individual socio-political actions are inspired by their perception of what Islam is but not devoid from the influence of structures of high politics that constantly shapes and reshapes these individualsperception of Islam. The findings indicate that divisions exist among young Bangladeshis about what Islam constitutes and means. Specifically, it was observed that an emerging trend is to advance the idea of Islam as a majoritarian religion through signs, symbols, and the politics of space. Within this context, narratives of good Muslim and bad Muslim manifest and contribute into justifications for radicalisation and even terror activities.
"
2,"Research shows the experience of awe is associated with a variety of benefits ranging from increased well-being and prosocial behavior to enhanced cognition. The adaptive purpose of awe, however, is elusive. In this article, we aim to show that the current framework used to conceptualize awe points towards higher-order cognition as the key adaptive function. This goes against past evolutionary positions that posit social benefits or unidimensional behavioral adaptations. In the second half of the article, we highlight a distinct cognitive advantage of awe. The literature connecting awe and cognition is surveyed and used to develop a view that situates awe as a critical component in the cognitive success of the human species.
"
3,"Disgust seems to play an important role in moral judgment. However, it is unclear whether the role of disgust in moral judgment is limited to certain kinds of moral domains (versus many) and/or certain types of disgust (versus many). To clarify these questions, we conducted a multilevel meta-analysis (k = 512; N = 72,443) on relations between trait disgust sensitivity and moral judgment (disgust-immorality association). Main analyses revealed a significant overall mean disgust-immorality association (r = .23). Additionally, moderator analyses revealed significant specificity in disgust type and moral domain (grounded in Moral Foundations Theory): effects were stronger for (a) sexual disgust compared to pathogen disgust, (b) sanctity moral judgments compared to other domains of moral judgments, and (c) sexual-sanctity associations compared to other disgust type-moral domain pairings.
"
4,"The enjoyment and pleasure derived from sad music has sparked fascination among researchers due to its seemingly paradoxical nature in producing positive affect. Research is yet to develop a comprehensive understanding of this paradox. Contradictory findings have resulted in a great variability within the literature, meaning results and interpretations can be difficult to derive. Consequently, this review collated the current literature, seeking to utilize the variability in the findings to propose a model of differential sad states, providing a means for past and future findings to be interpreted. The proposed model is based on theoretical understanding, as such it requires full empirical support. Comparisons to alternative models, theoretical, clinical, and cognitive implications, as well as future directions are discussed.
"
5,"Sympathy (empathic concern) is mainly understood as a feeling for another and is often contrasted with empathya feeling with another. However, it is not clear what feeling for another means and what emotions sympathy involves. Since empirical data suggests that sympathy plays an important role in our social lives and is more closely connected to helping behavior than empathy, we need a more detailed account. In this paper, I argue that sympathy is not a particular emotion but a type of emotional experience: those that have another person as focus. I explain what this means and show that this sheds light on why sympathy, rather than empathy, directly motivates altruistic actions.
"
6,"Plato's Republic lurks in cybernetics, a word popularly attributed to US American mathematician Norbert Wiener (18941964). In his accounts of how he came up with it, however, Wiener never mentions Plato, though he does note it was formed from the ancient Greek word kubern?t?s (navigator). Among the earliest popular books about the cybernetics craze are three published in France, and their authors show a special interest in the origin of cybernetics. In something like learned rebukes to Wiener, all three books credit Plato with significant use of kubern?-based terms. This article presents evidence, one, that Wiener knows well he has chosen a word with a Platonic history and, two, that Wiener deems the technical and social climate of ancient Athens (and of the Republic) instructive only as an anti-model for the mid-20th-century United States and so does not feel compelled to associate cybernetics with Plato. Instead, Wiener focuses on the challenges cybernetics and automation pose for his own engineering-oriented, capitalist, multiracial, democratic republic. Wiener's decisions not to use Plato as an authorizing force and not to put ancient Athens on a pedestal merit recognition, since subsequent writers link ancient Athens with cybernation via a presumption that cybernation will enable and fully democratize the sort of leisure activities, including thinking and participation in public life, deemed by some to be emblematic of ancient Athens.
"
7,"This article traces the career arc of Dutch psychoanalyst Joost A. M. Meerloo by examining his biography and his psychology of interrogation and confession. His life story, particularly his experiences during the German occupation of the Netherlands and his escape to England during World War II, shaped his views on these issues, as well as his rise to prominence as an expert on these topics in the United States. His psychoanalytic perspectives on interrogation and confession, including false confession, reflected the zeitgeist of the First Wave of Cold War interrogation tactics and related scholarship. His career as a scholar of interrogation faded with the study of distinct interrogation tactics used by communists during the Korean War, the emergence of experimental social psychology, and a growing cohort of scholars who rejected his psychoanalytic views in favor of more contemporary approaches. For these reasons, his work remains undervalued, increasing the risks that todays scholars will fail to recognize his larger contributions and his warnings about vulnerability and psychologistsroles in military interrogations. The article reviews the rise and fall of the career of Joost A. M. Meerloo as a scholar of Cold War interrogation, including his contributions and his unheeded warnings about vulnerability and psychologistsroles in military interrogations.
"
8,"Wants and desires are central to ordinary experience and to aesthetic, philosophical, and theological thought. Yet despite a burgeoning interest in the history of emotions research, their history as objects of scientific study has received little attention. This historiographical neglect mirrors a real one, with the retreat of introspection in the positivist human sciences of the early 20th century culminating in the relative marginalization of questions of psychic interiority. This article therefore seeks to explain an apparent paradox: the attempt to develop a comprehensive theory of why  we want what we wantin the 1940s by esteemed American neo-behavioristpsychologist Edward Tolman  a proponent of a methodology famous for its prohibition on appeals to unobservable mental phenomena. Though chiefly known today for his theory of cognitive maps, Tolman also sought to map the contours of desire as such, integrating Freudian and behaviorist models of the drivesto develop a complex iconography of the universal structures of motivation. Close attention to Tolman's striking maps offers a compelling limit case for what could and could not be captured within an anti-mentalist framework, and illuminates an important precursor to theories of motivational affectin the postwar cognitive and neurosciences. His work upsets a standard chronology that centers on the cognitive revolutionof the 1960s, and points to the significance of psychoanalysis to an earlier turn to cognitivism. Tolman concluded his theory pointed in the direction of more socialism a reminder of the politically labile anti-essentialism of behaviorism's commitment to mental plasticity.
"
9,"Could there be any academics on earth who have not yet noticed that the field of Positive Psychology has been growing in prominence over the last two decades? If so, it can only be because they are oblivious to happenings in the world around them. The leading US-based newspapers have run stories announcing that even the Ivy Leagueschools are setting new records for student attendance, with Harvard Universitys Positive Psychology class being designated as the most popular course in the history of the school. Likewise, Psychology and the Good Life stands as the most acclaimed class in Yale Universitys 316-year existence. And Martin Seligman, so often referred to as the father of modern Positive Psychology, concludes that principles of well-being should be taught in schools from elementary levels through higher education. The leaders in this school of thought herald it as an antidote to depression, a method for increasing life satisfaction and an aid to more creative thinking.
"
10,"Management research has attracted a plethora of research intending to optimize performance within and outside firms. We have seen plenty of progress in various dimensions; however, we also notice domains where the struggle still exists. This work tries to develop a theory of a hypothetical firm that goes beyond the current theories and takes inspiration from the texts of the Bhagavad Gita. We look at the theory of a hypothetical firm through the lens of the Bhagavad Gita. Precisely, this work theorizes about the three aspects of a firm: leadership, governance and motivation. Governance provides a structure to business management; leaderships play a pivotal role in converting inputs to desired outputs; and motivation acts as a catalyst in any process that builds and runs the firm. Moreover, this work integrates the understanding of certain shlokas of the Bhagavad Gita for theorizing.
"
11,"The union of human and divine wills is a concept that features abundantly in Christian spiritual literature. Yet, it gets very little hearing in most systematic works on theosis despite the fact that it offers a way of talking about the process of divinisation. I propose that the union of human and divine wills is the pinnacle of the virtue of obedience, and that the union in turn constitutes a pathway to divinization. I map this trajectory in St John of the Cross and plot his works as a vademecum on the way to deification. Finally, I consider Johns understanding of the impact of this supernatural union on the human body as well as the role of the latter in deification. Despite uncovering unexpected resources for embodied theosis in Johns writings, I also list major omissions with regards to his (reconstructed) spiritual theology concerning the body transformed by union.
"
12,"Truth is an ethical relation. Facts, whether descriptions of the physical world or of historical events, are necessarily mediated by our frames of reference. This contingency opens a space for disagreement that cannot be adjudicated by an absolute standard of truth. For those seeking power or profit, the temptation to exploit this state of undecidability is strong. When many question the institutions that broker meaning  science, the professions, the media  rumors, misinformation, deliberate distortions and falsehoods all proliferate. In the digital age, the madeis swiftly supplanted by the made-up. The remedy for this predicament is not technological or factual, but ethical and social. The normative resources for this project lie in our everyday ethic of communication and in the ideal of democracy as shared authority. Whether we can address this predicament effectively is uncertain. But the nature of the problem is clear: It is not that we live in a post-truthage, but rather that we are facing a crisis of democratic society as such. It is not so much that we lost sight of truth, as that we have lost sight of one another.
"
13,"Despite Jean-Paul Sartre and Cornelius Castoriadis placing the imagination centre stage in their respective conceptual theories, little work has been done to bring them into conversation on this issue or, indeed, any other. This is perhaps not surprising given Sartres early work on this topic has tended to be downplayed in favour of his affirmation of freedom, while Castoriadis not only denigrates Sartres thinking generally and his account of the imagination specifically but also posits their relationship as one of opposition. In contrast, this article brings them into conversation on the question of the imagination to call into question Castoriadis assessment of their relation. To do so, I outline Sartres position in The Imaginary, showing that Castoriadis assessment of Sartres notion is based on a problematic, if common, misunderstanding of Sartres notion of nothingness and its relationship to creativity. Having overcome the opposition that Castoriadis affirms between their respective positions, I argue that, while there certainly are differences between their positions, there are also important points of agreement and overlap between them, especially regarding the constitutive role that the imagination plays for consciousness, and the relationships between the imagination and freedom and the imagination and creativity, that point to a shared and original approach.
"
14,"What role do normative ideals play in politics? Since Rawls, many political philosophers have advocated what they take to be a Kantian answer to this question. Normative ideals organize and guide political decision-making and action, and a major task of political philosophy is to generate them. Recently, this position has come under renewed scrutiny among political thinkers identifying as realists and nonideal theorists. These critics argue that ideal theory is too remote from empirical politics. This article turns to Kant for an alternative conception of ideals that is both distinct from the Rawlsian account and better withstands the critiques of realists and nonideal theorists. It argues that, for Kant, ideals are aids to freedom; their aim is to guide us towards forms of autonomy we have yet to fully realize. This leaves us with a much stronger view of ideals than does ideal theory.
"
15,"This article argues that late Heideggers analyses of the Fourfold can be used as a methodological starting point for discourse analyses. It argues that the Fourfold points out elements or foundations of discursive structures that orient us to differing, and to some extent opposing, directions that are at the same time mutually interdependent. A discursive analysis of how the Fourfold is at play in prevailing discursive exchanges and structures will thus be a matter of situating ourselves in a conceptual space beyond existing practices and structures, from which we get a picture of their inadequacies. As such, the article contributes to a critical understanding of discourse analysis. It will be argued that through understanding the Fourfold, we can better understand the problems with various aspects of measuring, which are founded upon the (concealed) instability of elements of the Fourfold  which shapes practical discursive engagements. By foregrounding this structural instability we can approach it critically. I demonstrate how this approach might be used in an analysis of a debate between Greta Thunberg and BjÃ¸rn Lomborg.
"
16,"What is cultural appropriation? What is cultural appreciation? Whatever the complex answer to this question, cultural appropriation is commonly defined as the taking of something produced by members of one culture by members of another(Young 2005: 136), whilst appreciation is typically understood as mere exploration: Appreciation explores whatever is there. (Gracyk 2007: 112). These provisional definitions suggest that there is an in-principle distinction between the two concepts that presupposes the following: what is appreciated is already available; what is appropriated was, prior to its being taken, not already there or available. Moreover, perhaps appreciation, when contrasted to appropriation, is unproblematic precisely due to this basic difference.
In this paper, we argue that the exclusive disjunction  appropriation or appreciation  rests on a false distinction between the two. We also show that this distinction presupposes a false normative principle that to the extent that x is appreciation rather than appropriation, then x is not  relevant to this issue  a wrong. Against these presuppositions, we defend the view that appropriation is already built into appreciation. This does not mean that we cannot ask questions of appreciation, but that questions of appreciation do not preclude the problematics of appropriation."
17,"The expropriation of the expropriatorsis a delicious turn of phrase, one that Marx even compares to Hegels infamous negation of the negation. But what does it mean, and is it still relevant today? Before I analyse the content of Marxs expression, I briefly consider contemporary legal understandings of expropriation, as well as some examples of it. In the remainder of the essay, I spell out different kinds of expropriation in Marx and focus on an ambiguity at the core of the notion of expropriating the expropriators, namely, whether it describes an immanent and objective tendency within the development of the capitalist mode of production or else actively prescribes a form of revolutionary political praxis for the working class. My answer is that it does both, though not without tension. Finally, I develop some implications of these reflections by showing how the concept of expropriation can be put to use today, in struggles around housing, climate and work.
"
18,"This article argues that late Heideggers analyses of the Fourfold can be used as a methodological starting point for discourse analyses. It argues that the Fourfold points out elements or foundations of discursive structures that orient us to differing, and to some extent opposing, directions that are at the same time mutually interdependent. A discursive analysis of how the Fourfold is at play in prevailing discursive exchanges and structures will thus be a matter of situating ourselves in a conceptual space beyond existing practices and structures, from which we get a picture of their inadequacies. As such, the article contributes to a critical understanding of discourse analysis. It will be argued that through understanding the Fourfold, we can better understand the problems with various aspects of measuring, which are founded upon the (concealed) instability of elements of the Fourfold  which shapes practical discursive engagements. By foregrounding this structural instability we can approach it critically. I demonstrate how this approach might be used in an analysis of a debate between Greta Thunberg and BjÃ¸rn Lomborg.
"
19,"Popper and Agassi diverged on nationalism. Popper was a trenchant critic whereas Agassi formed a theory of liberal nationalism. At the root of their disagreement was Poppers refusal of Jewish identity and rejection of Zionism, in contrast with Agassis affirmation of progressive Jewishness and liberal Zionism. Both Agassi and Popper, however, rejected ethnonationalism. To hedge against it, they ignored the claims of ethnocultural communities. This essay will highlight Agassis liberal theory of the nation state but urge that we overcome Critical Rationalistsinstinctive aversion to ethnicity, and accommodate ethnocultural communities. We should also explore again both Poppers democratic imperialism and cosmopolitan diasporas, to think a future beyond nationalism.
"
20,"This paper presents Agassis views of morality and ethics. Agassi proposes a non-reductive psychological theory of moral judgments, complemented by duties, and a psychological hypothesis regarding the psychological and social conditions that invite openness to criticism. His opposition to moralism, his objection to justification, his emphasis on red lines and grey areas, and his rejection of abstract moral debates in favor of public moralism result in a distinct approach to moral philosophy that is in conflict with most of the mainstream work in this field. Following Socrates, he takes education for autonomy as the critical rationalist life-style.
"
21,"Joseph Agassi, together with Yehuda Fried, presented the paradoxes of paranoia and proposed to explain and solve them by introducing innovative diagnostic criteria for psychosis as reflecting a specific kind of rationality. Their ethical-clinical framework however, discouraged discussion of placing impositions on the mentally ill, even when in danger. According to these very criteria, Agassis institutional individualism framework renders paranoiacs defective in autonomy. Introducing the idea of degrees of autonomy as a guiding principle for research and practice will promote responsible commitment to the mentally ill and to all other persons in society.
"
22,"Public funders of health research have been widely criticized on the grounds that their allocations of funding for disease-specific research do not reflect the relative burdens imposed by different diseases. For example, the US National Institutes of Health spends a much greater fraction of its budget on HIV/AIDS research and a much smaller fraction on migraine research than their relative contribution to the US burden of disease would suggest. Implicit in this criticism is a normative claim: Insofar as the scientific opportunities are equal, each patient merits research into their condition proportional to the burden of disease for which that condition is responsible. This claimthe proportional viewis widely accepted but has never been fully specified or defended. In this paper, I explain what is required to specify the view, attempt to do so in the most charitable way, and then critically evaluate its normative underpinnings. I conclude that a severity-weighted proportional view is defensible. I close by drawing out five key lessons of my analysis for health research priority-setting.
"
